Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15740215,01/15/2010 10:52:40 PM,01/31/2010 01:06:46 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,11237,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,,Closed,02/03/2010 11:01:27 AM,,01/31/2010 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",True,False,False
15951864,02/07/2010 05:17:19 AM,02/07/2010 09:14:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237.0,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/07/2010 01:17:19 PM,,02/07/2010 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",True,False,False
16383488,04/06/2010 09:38:07 PM,04/07/2010 12:03:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/07/2010 05:38:07 AM,,04/07/2010 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",True,False,False
16464338,04/16/2010 05:58:24 PM,06/09/2010 12:00:00 AM,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,11237,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,06/09/2010 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",True,False,False
16513486,04/24/2010 02:45:15 AM,04/24/2010 04:36:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11237,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/24/2010 10:45:15 AM,,04/24/2010 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",True,False,False
18326546,07/24/2010 01:17:52 AM,07/24/2010 11:21:30 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11237,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/24/2010 09:17:52 AM,,07/24/2010 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",False,False,False
19840205,02/15/2011 06:50:25 PM,03/28/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11237,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,04/11/2011 01:17:12 PM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",True,False,False
20017466,03/12/2011 11:05:23 AM,03/14/2011 01:18:00 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11237,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,,Closed,03/16/2011 11:05:23 AM,The Department of Consumer Affairs has determined that this issue is not within its jurisdiction. It has been referred to the State Liquor Authority.,03/14/2011 01:18:00 PM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",True,False,False
20093816,03/23/2011 12:00:00 AM,,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,11237.0,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,,Open,,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",04/08/2011 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",False,False,False
20093847,03/23/2011 12:00:00 AM,,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,11237.0,53 WILSON AVENUE,WILSON AVENUE,MELROSE STREET,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,,Open,,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",04/08/2011 12:00:00 AM,04 BROOKLYN,3031650006.0,BROOKLYN,1003976.0,195223.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70249681762028,-73.92885645535604,"(40.70249681762028, -73.92885645535605)",False,False,False
