Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15833566,01/29/2010 03:29:30 AM,01/29/2010 04:38:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/29/2010 11:29:30 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/29/2010 04:37:30 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,False,False
22347271,12/17/2011 10:46:00 AM,12/19/2011 12:00:00 PM,DSNY,BCC - Brooklyn North,Missed Collection (All Materials),1R Missed Recycling-All Materials,Sidewalk,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,12/19/2011 12:00:00 PM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",False,False,False
23004618,04/05/2012 12:28:44 AM,04/05/2012 03:09:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/05/2012 08:28:44 AM,The Police Department responded to the complaint and took action to fix the condition.,04/05/2012 03:09:44 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
23124791,04/26/2012 03:04:50 PM,04/26/2012 11:25:25 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/26/2012 11:04:50 PM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,04/26/2012 11:25:25 PM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
23104249,04/24/2012 01:58:25 AM,04/24/2012 05:43:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/24/2012 09:58:25 AM,The Police Department responded to the complaint and took action to fix the condition.,04/24/2012 05:43:12 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24266565,10/26/2012 02:06:30 AM,10/26/2012 02:35:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/26/2012 10:06:30 AM,The Police Department responded to the complaint and took action to fix the condition.,10/26/2012 02:35:47 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24430432,11/18/2012 11:07:54 PM,11/19/2012 05:36:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/19/2012 07:07:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/19/2012 05:36:48 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24517766,12/01/2012 03:31:35 AM,12/01/2012 04:28:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/01/2012 11:31:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/01/2012 04:28:56 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24520225,12/02/2012 02:34:01 AM,12/02/2012 04:55:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/02/2012 10:34:01 AM,The Police Department responded to the complaint and took action to fix the condition.,12/02/2012 04:55:56 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24528035,12/03/2012 11:43:47 PM,12/04/2012 02:30:32 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/04/2012 07:43:47 AM,The Police Department responded to the complaint and took action to fix the condition.,12/04/2012 02:30:32 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24528979,12/04/2012 12:04:59 AM,12/04/2012 02:30:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/04/2012 08:04:59 AM,The Police Department responded to the complaint and took action to fix the condition.,12/04/2012 02:30:31 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24570985,12/10/2012 11:48:27 PM,12/11/2012 02:14:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/11/2012 07:48:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/11/2012 02:14:15 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
24579840,12/11/2012 11:31:30 PM,12/12/2012 01:00:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,536 DRIGGS AVENUE,DRIGGS AVENUE,NORTH 8 STREET,NORTH 7 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/12/2012 07:31:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/12/2012 01:00:34 AM,01 BROOKLYN,3023200021.0,BROOKLYN,996432.0,200649.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71740349992278,-73.95605472789866,"(40.71740349992278, -73.95605472789865)",True,True,False
