Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27005937,12/28/2013 12:00:00 AM,01/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10454,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",01/02/2014 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
27114346,01/09/2014 12:28:07 PM,02/04/2014 11:30:49 AM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,10454,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,02/08/2014 12:28:07 PM,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.,02/04/2014 11:30:49 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
28199682,06/06/2014 12:00:00 AM,06/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10454.0,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/14/2014 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
28200214,06/06/2014 12:00:00 AM,06/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10454.0,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/14/2014 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
28205799,06/06/2014 12:00:00 AM,06/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10454.0,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/14/2014 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
28597864,08/01/2014 12:00:00 AM,10/03/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10454.0,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,10/03/2014 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
27534952,02/27/2014 01:32:05 PM,04/03/2014 12:38:01 PM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,10454.0,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,03/29/2014 01:32:05 PM,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.,04/03/2014 12:37:16 PM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
31821301,10/27/2015 02:06:41 AM,10/27/2015 07:41:17 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10454.0,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/27/2015 10:06:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/27/2015 07:28:14 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,True,False
16623638,05/10/2010 12:46:25 PM,05/10/2010 02:31:31 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10454,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,05/10/2010 08:46:25 PM,,05/10/2010 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
20719730,06/27/2011 09:07:45 PM,06/27/2011 10:18:49 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10454,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,06/28/2011 05:07:45 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/27/2011 10:18:49 PM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,PHONE,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
21722453,10/24/2011 04:37:13 PM,10/24/2011 04:37:13 PM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10454,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,10/24/2011 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
21808417,11/03/2011 01:32:19 PM,11/04/2011 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10454.0,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,11/04/2011 12:00:00 AM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
24053697,09/19/2012 11:53:01 AM,10/18/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10454,536 EAST 138 STREET,EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,11/16/2012 12:53:13 PM,01 BRONX,2022650039.0,BRONX,1006866.0,233359.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.8071634679652,-73.91830515002691,"(40.8071634679652, -73.91830515002691)",True,False,False
