Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
24210649,10/16/2012 12:20:00 PM,10/19/2012 12:00:00 PM,DSNY,A - Manhattan,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Sidewalk,10027.0,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,10/19/2012 12:00:00 PM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",False,True,False
16465984,04/17/2010 03:25:18 AM,04/17/2010 06:50:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/17/2010 11:25:18 AM,,04/17/2010 12:00:00 AM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,False,False
18869990,10/11/2010 10:16:24 PM,10/11/2010 10:32:33 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10027,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/12/2010 06:16:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/11/2010 12:00:00 AM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,False,False
20412333,05/12/2011 11:38:19 PM,05/13/2011 12:57:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/13/2011 07:38:19 AM,The Police Department responded to the complaint and took action to fix the condition.,05/13/2011 12:57:02 AM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,False,False
21529491,09/27/2011 11:27:32 PM,09/28/2011 01:42:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027.0,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/28/2011 07:27:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/28/2011 01:42:41 AM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,False,False
22481345,01/09/2012 10:07:11 PM,01/09/2012 10:24:54 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/10/2012 06:07:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/09/2012 10:24:55 PM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,True,False
22483371,01/09/2012 09:14:25 PM,01/09/2012 09:58:59 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027.0,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/10/2012 05:14:25 AM,The Police Department responded to the complaint and took action to fix the condition.,01/09/2012 09:58:59 PM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,True,False
22488405,01/11/2012 12:23:31 AM,01/11/2012 01:59:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027.0,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/11/2012 08:23:31 AM,The Police Department responded to the complaint and took action to fix the condition.,01/11/2012 01:59:24 AM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,True,False
22877449,03/13/2012 09:30:14 PM,03/13/2012 09:55:08 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10027,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/14/2012 05:30:14 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/13/2012 09:55:09 PM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",True,True,False
24335772,11/05/2012 12:49:36 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,10027.0,551 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,,,Assigned,01/19/2013 08:44:13 AM,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,01/11/2013 08:44:47 AM,10 MANHATTAN,1019490053.0,MANHATTAN,997072.0,234148.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80934869639403,-73.95368209874252,"(40.80934869639403, -73.95368209874252)",False,True,False
