Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26612994,11/03/2013 12:09:53 AM,11/03/2013 01:31:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/03/2013 08:09:53 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,11/03/2013 01:31:43 AM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
26613550,11/03/2013 12:13:36 AM,11/03/2013 01:30:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/03/2013 08:13:36 AM,The Police Department responded to the complaint and took action to fix the condition.,11/03/2013 01:30:40 AM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
26591044,10/30/2013 10:50:12 PM,10/31/2013 02:56:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 06:50:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/31/2013 02:56:06 AM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
26592943,10/30/2013 10:32:14 PM,10/31/2013 02:57:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003.0,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 06:32:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/31/2013 02:57:12 AM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
29434884,12/04/2014 12:16:32 PM,06/25/2015 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10003.0,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,06/25/2015 12:00:00 AM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
30063329,03/01/2015 12:21:44 AM,03/01/2015 12:41:35 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10003.0,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/01/2015 08:21:44 AM,The Police Department responded to the complaint and took action to fix the condition.,03/01/2015 12:41:35 AM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
29191259,10/31/2014 02:20:15 PM,11/05/2014 04:21:57 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,,Closed,11/14/2014 01:53:26 PM,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  They will inspect the location according to its normal schedule for sanitary inspections. You can provide more information in a new Service Request by calling 311 or going online to www.nyc.gov/311.,11/05/2014 04:21:45 PM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
29191260,10/31/2014 01:53:26 PM,11/05/2014 04:21:57 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,,Closed,11/14/2014 01:53:26 PM,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  They will inspect the location according to its normal schedule for sanitary inspections. You can provide more information in a new Service Request by calling 311 or going online to www.nyc.gov/311.,11/05/2014 04:21:57 PM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
27904517,04/24/2014 09:38:59 PM,04/24/2014 11:14:40 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10003,56 IRVING PLACE,IRVING PLACE,,,,,LATLONG,NEW YORK,,Precinct,Closed,04/25/2014 05:38:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/24/2014 11:14:40 PM,06 MANHATTAN,,MANHATTAN,987852.0,207389.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.735910813305246,-73.98700255867065,"(40.73591081330525, -73.98700255867065)",True,False,False
27904560,04/24/2014 09:35:54 PM,04/24/2014 11:23:09 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,56 IRVING PLACE,IRVING PLACE,EAST 17 STREET,EAST 18 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/25/2014 05:35:54 AM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,04/24/2014 11:23:09 PM,06 MANHATTAN,1008730020.0,MANHATTAN,987793.0,207457.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73609748034625,-73.98721541820298,"(40.73609748034625, -73.98721541820298)",True,False,False
