Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
23018924,04/06/2012 10:27:03 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10002.0,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Assigned,05/13/2012 10:27:03 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",04/10/2012 11:41:09 AM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
19347381,12/14/2010 08:23:00 PM,12/15/2010 07:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10002.0,58 CLINTON STREET,CLINTON STREET,STANTON ST,RIVINGTON ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/15/2010 07:30:00 PM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
20068393,03/20/2011 06:26:40 PM,03/20/2011 08:04:22 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,03/21/2011 02:26:40 AM,The Police Department responded to the complaint and took action to fix the condition.,03/20/2011 08:04:22 PM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
20451581,05/17/2011 11:12:59 PM,05/18/2011 12:58:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/18/2011 07:12:59 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/18/2011 12:58:53 AM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
20985965,08/07/2011 12:44:50 AM,08/07/2011 12:45:10 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10002,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,,Thank you for your report. The City will use the information you provided for tracking and reporting purposes. 311 will not have any further status information.,08/07/2011 12:46:34 AM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
21628122,10/12/2011 06:41:04 PM,10/12/2011 11:19:43 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002.0,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/13/2011 02:41:04 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/12/2011 11:19:43 PM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
22467833,01/07/2012 02:02:46 AM,01/07/2012 02:35:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/07/2012 10:02:46 AM,The Police Department issued a summons in response to the complaint.,01/07/2012 02:35:18 AM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
22474140,01/07/2012 09:24:12 AM,01/07/2012 09:24:12 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,01/07/2012 12:00:00 AM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
22607652,01/27/2012 04:33:09 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10002,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Assigned,03/04/2012 04:33:09 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/27/2012 03:37:33 PM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
22611812,01/28/2012 01:08:31 PM,01/30/2012 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,10002,58 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,01/30/2012 12:00:00 AM,03 MANHATTAN,1003440141.0,MANHATTAN,988458.0,201428.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71954905407944,-73.98481959848709,"(40.719549054079444, -73.98481959848709)",True,False,False
