Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27836538,04/12/2014 11:31:18 PM,04/13/2014 02:42:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/13/2014 07:31:18 AM,The Police Department responded to the complaint and took action to fix the condition.,04/13/2014 02:42:07 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,True,False
28063575,05/17/2014 10:48:54 PM,05/18/2014 12:37:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203.0,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/18/2014 06:48:54 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/18/2014 12:37:26 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,True,False
28086862,05/19/2014 06:01:00 PM,05/21/2014 12:00:00 PM,DSNY,BCC - Brooklyn North,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,11203.0,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/21/2014 12:00:00 PM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",False,True,False
22899326,03/17/2012 08:14:39 AM,03/17/2012 08:14:39 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11203.0,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,03/17/2012 12:00:00 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,False,False
23342572,06/02/2012 01:43:14 AM,06/02/2012 06:00:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/02/2012 09:43:14 AM,The Police Department responded to the complaint and took action to fix the condition.,06/02/2012 06:00:11 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,False,False
24682449,12/29/2012 02:16:08 AM,12/29/2012 04:00:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/29/2012 10:16:08 AM,The Police Department responded to the complaint and took action to fix the condition.,12/29/2012 04:00:08 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,False,False
25056273,02/23/2013 02:06:37 AM,02/23/2013 02:16:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/23/2013 10:06:37 AM,The Police Department responded to the complaint and took action to fix the condition.,02/23/2013 02:16:22 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,False,False
25102996,03/02/2013 02:47:27 AM,03/02/2013 03:00:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203.0,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/02/2013 10:47:27 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/02/2013 03:00:45 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,False,False
25349981,04/13/2013 02:16:35 AM,04/13/2013 04:10:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/13/2013 10:16:35 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/13/2013 04:10:24 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,False,False
25442387,04/29/2013 12:46:04 AM,04/29/2013 03:14:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11203,585 ALBANY AVENUE,ALBANY AVENUE,MIDWOOD STREET,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/29/2013 08:46:04 AM,The Police Department responded to the complaint and took action to fix the condition.,04/29/2013 03:14:46 AM,09 BROOKLYN,3048050001.0,BROOKLYN,1000966.0,179854.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.660318614439966,-73.93975040458052,"(40.660318614439966, -73.93975040458052)",True,False,False
