Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18734691,09/21/2010 11:41:00 AM,09/23/2010 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10002.0,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/23/2010 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
20800308,07/09/2011 09:44:00 AM,07/09/2011 12:00:00 PM,DSNY,Manhattan 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10002.0,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,07/09/2011 12:00:00 PM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
23151580,05/01/2012 03:16:00 PM,05/04/2012 12:00:00 PM,DSNY,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10002.0,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/04/2012 12:00:00 PM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
15919616,02/02/2010 03:47:31 PM,03/08/2010 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",03/08/2010 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
16020229,02/17/2010 11:49:33 PM,02/18/2010 01:08:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/18/2010 07:49:33 AM,,02/18/2010 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
15977748,02/10/2010 10:58:54 AM,11/04/2013 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11/04/2013 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
16884067,06/17/2010 10:42:19 PM,06/17/2010 11:31:50 PM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2010 06:42:19 AM,,06/17/2010 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",False,False,False
17580151,07/05/2010 02:18:59 PM,08/12/2010 01:12:40 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,08/12/2010 12:19:49 PM,,08/12/2010 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",False,False,False
17595786,07/07/2010 11:12:08 AM,07/07/2010 02:19:54 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Non-Delivery Goods/Services,,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,07/11/2010 11:12:08 AM,,07/07/2010 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
18968560,10/24/2010 03:04:39 PM,01/18/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,01/18/2011 12:00:00 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
20194726,04/07/2011 06:50:20 PM,05/24/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10002.0,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,,The City has removed the graffiti from this property.,05/24/2011 10:37:55 AM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,False,False
22311267,12/12/2011 06:16:07 PM,12/14/2011 12:39:24 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,10002.0,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,,,12/14/2011 12:39:24 PM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",False,False,False
23341100,06/01/2012 08:03:18 AM,06/06/2012 03:42:45 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Closed without Notice,,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,06/05/2012 08:03:18 AM,"Unfortunately, the behavior that you complained about does not violate any law or rule. As a result, no city agency has the jurisdiction to act on the matter.",06/06/2012 03:42:46 PM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,True,False
23342918,06/01/2012 09:57:58 PM,06/06/2012 03:44:56 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,06/05/2012 09:57:58 PM,Your complaint was referred to the Department of Consumer Affairs. There was insufficient information and the Department was not able to act on the matter.,06/06/2012 03:44:56 PM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,True,False
23481103,06/23/2012 01:13:37 PM,06/26/2012 04:01:44 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,10002,59 CANAL STREET,CANAL STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,,Closed,08/01/2012 04:01:14 PM,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",06/26/2012 04:01:44 PM,03 MANHATTAN,1002990034.0,MANHATTAN,986447.0,199757.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71496328791118,-73.992074846151,"(40.71496328791118, -73.992074846151)",True,True,False
