Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
22740562,02/19/2012 11:30:00 AM,02/19/2012 01:30:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11211.0,594 UNION AVENUE,UNION AVENUE,N 11 ST,BAYARD ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",02/19/2012 01:30:00 PM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,True,False
23639494,07/18/2012 05:24:00 PM,07/18/2012 06:15:00 PM,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11211.0,594 UNION AVENUE,UNION AVENUE,N 11 ST,BAYARD ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,07/18/2012 06:15:00 PM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,True,True
16466990,04/18/2010 02:03:13 AM,04/18/2010 04:00:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/18/2010 10:03:13 AM,,04/18/2010 12:00:00 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
19000252,10/30/2010 01:50:32 AM,10/30/2010 01:58:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/30/2010 09:50:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/30/2010 12:00:00 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
19000253,10/30/2010 01:55:50 AM,10/30/2010 02:50:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11211.0,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/30/2010 09:55:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/30/2010 12:00:00 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
19654792,01/23/2011 02:06:05 AM,01/23/2011 03:43:09 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/23/2011 10:06:05 AM,The Police Department responded to the complaint and took action to fix the condition.,01/23/2011 03:43:09 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
19714773,01/30/2011 01:17:59 AM,01/30/2011 03:01:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/30/2011 09:17:59 AM,The Police Department responded to the complaint and took action to fix the condition.,01/30/2011 03:01:26 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
19893357,02/23/2011 10:00:39 PM,02/24/2011 03:01:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/24/2011 06:00:39 AM,The Police Department responded to the complaint and took action to fix the condition.,02/24/2011 03:01:58 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
19918452,02/27/2011 01:43:26 AM,02/27/2011 03:16:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/27/2011 09:43:26 AM,The Police Department responded to the complaint and took action to fix the condition.,02/27/2011 03:16:54 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
20016713,03/12/2011 11:57:57 PM,03/13/2011 12:09:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,594 UNION AVENUE,UNION AVENUE,NORTH 11 STREET,BAYARD STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/13/2011 07:57:57 AM,The Police Department responded to the complaint and took action to fix the condition.,03/13/2011 12:09:55 AM,01 BROOKLYN,3027210001.0,BROOKLYN,997470.0,200973.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71829131180821,-73.95230961744943,"(40.71829131180821, -73.95230961744944)",True,False,False
