Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
18265142,07/14/2010 10:34:00 PM,07/20/2010 08:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11222.0,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVE,NASSAU AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/20/2010 08:00:00 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
16468980,04/17/2010 11:26:45 AM,05/02/2010 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,11222,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,05/02/2010 12:00:00 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",False,False,False
19245917,12/02/2010 02:22:08 AM,12/02/2010 03:04:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/02/2010 10:22:08 AM,The Police Department responded to the complaint and took action to fix the condition.,12/02/2010 03:04:29 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
19267524,12/05/2010 11:46:29 PM,12/06/2010 02:31:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11222.0,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/06/2010 07:46:29 AM,The Police Department responded to the complaint and determined that police action was not necessary.,12/06/2010 02:31:16 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
19540770,01/06/2011 10:17:57 PM,01/06/2011 11:13:19 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222.0,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/07/2011 06:17:57 AM,The Police Department responded to the complaint and took action to fix the condition.,01/06/2011 11:13:19 PM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
19566582,01/10/2011 03:08:31 AM,01/10/2011 04:31:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/10/2011 11:08:31 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/10/2011 04:31:56 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
19844693,02/17/2011 12:05:44 AM,02/17/2011 12:40:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/17/2011 08:05:44 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/17/2011 12:40:44 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
20057059,03/19/2011 12:14:45 AM,03/19/2011 02:43:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/19/2011 08:14:45 AM,The Police Department responded to the complaint and took action to fix the condition.,03/19/2011 02:43:21 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
20136377,03/30/2011 10:06:07 PM,03/30/2011 11:50:15 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/31/2011 06:06:07 AM,The Police Department responded to the complaint and took action to fix the condition.,03/30/2011 11:50:15 PM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
20563091,06/04/2011 01:36:02 AM,06/04/2011 03:15:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11222,597 MANHATTAN AVENUE,MANHATTAN AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/04/2011 09:36:02 AM,The Police Department responded to the complaint and took action to fix the condition.,06/04/2011 03:15:59 AM,01 BROOKLYN,3026790020.0,BROOKLYN,998000.0,202714.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72306912836282,-73.95039411696993,"(40.72306912836282, -73.95039411696993)",True,False,False
