Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
21465459,09/18/2011 12:00:00 AM,09/21/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460.0,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",09/21/2011 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,False,False
21421287,09/11/2011 12:00:00 AM,09/14/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,09/14/2011 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,False,False
21456790,09/16/2011 12:00:00 AM,09/18/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,"More than one complaint was received for this building-wide condition.This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, pleas",09/18/2011 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,False,False
21457693,09/16/2011 12:00:00 AM,09/18/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",09/18/2011 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,False,False
22779491,02/26/2012 12:00:00 AM,02/29/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",02/29/2012 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,True,False
22804425,03/01/2012 12:00:00 AM,03/02/2012 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",03/02/2012 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,True,False
24229887,10/20/2012 02:11:26 AM,10/20/2012 03:04:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/20/2012 10:11:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/20/2012 03:04:14 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,PHONE,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,True,False
24236726,10/20/2012 02:25:08 AM,10/22/2012 12:59:38 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,10/24/2012 02:25:08 AM,"The Department of Consumer Affairs has received your report. This request is under investigation. The Department of Consumer Affairs will work with other relevant City agencies and take enforcement action, as necessary.",10/22/2012 12:59:38 PM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,PHONE,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",True,True,False
24489753,11/28/2012 12:00:00 AM,01/08/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,01/08/2013 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,PHONE,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",False,True,False
24489911,11/28/2012 12:00:00 AM,01/08/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,10460,600 VAN NEST AVENUE,VAN NEST AVENUE,GARFIELD STREET,FILLMORE STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,01/08/2013 12:00:00 AM,11 BRONX,2040270001.0,BRONX,1020805.0,246268.0,PHONE,Unspecified,BRONX,,,,,,,,40.84254828791366,-73.86788360383271,"(40.84254828791366, -73.86788360383271)",False,True,False
