Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
24262618,10/25/2012 10:59:33 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10458,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,,Assigned,12/01/2012 10:59:33 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",10/26/2012 05:03:31 PM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
20375623,05/06/2011 06:41:07 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10458.0,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,,Assigned,06/12/2011 06:41:07 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/10/2011 10:34:07 AM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
25892492,07/08/2013 08:13:00 AM,07/09/2013 12:00:00 PM,DSNY,A - Bronx,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,10458.0,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,07/09/2013 12:00:00 PM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,True,False
27874490,04/18/2014 11:36:08 PM,04/19/2014 01:18:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10458,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,Precinct,Closed,04/19/2014 07:36:08 AM,The Police Department responded to the complaint and took action to fix the condition.,04/19/2014 01:18:04 AM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,ONLINE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,True,True
18935348,10/20/2010 10:59:52 AM,10/20/2010 11:16:08 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,10458,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/20/2010 06:59:52 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/20/2010 12:00:00 AM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
20057042,03/18/2011 11:30:42 PM,03/19/2011 01:01:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10458,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,Precinct,Closed,03/19/2011 07:30:42 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/19/2011 01:01:56 AM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
20562955,06/04/2011 12:24:48 AM,06/04/2011 03:02:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10458,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,Precinct,Closed,06/04/2011 08:24:48 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/04/2011 03:02:45 AM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
24111441,09/29/2012 10:10:29 PM,09/30/2012 12:02:00 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,10458.0,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/30/2012 06:10:29 AM,The Police Department reviewed your complaint and provided additional information below.,09/30/2012 12:02:01 AM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
24146099,10/06/2012 12:03:39 AM,10/06/2012 05:07:33 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10458,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/06/2012 08:03:39 AM,The Police Department responded to the complaint and took action to fix the condition.,10/06/2012 05:07:33 PM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
24265343,10/25/2012 11:15:07 PM,12/25/2012 06:15:18 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Restaurant/Bar/Deli/Bakery,10458.0,621 CRESCENT AVENUE,CRESCENT AVENUE,HUGHES AVENUE,EAST 186 STREET,,,ADDRESS,BRONX,,,Closed,12/24/2012 11:15:07 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/25/2012 06:15:18 AM,06 BRONX,2030740004.0,BRONX,1015382.0,250364.0,PHONE,Unspecified,BRONX,,,,,,,,40.853811374311036,-73.88746426718372,"(40.853811374311036, -73.88746426718372)",True,False,False
