Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19590934,01/13/2011 02:31:13 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,Building (Non-Residential),10306.0,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Assigned,02/19/2011 02:31:13 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/13/2011 03:35:57 PM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
22984073,03/31/2012 11:53:37 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,Building (Non-Residential),10306.0,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Assigned,05/07/2012 11:53:37 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",04/03/2012 11:14:05 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,True,False
22394119,12/26/2011 10:56:08 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,Building (Non-Residential),10306.0,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Assigned,02/01/2012 10:56:08 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/30/2011 03:07:07 PM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,True,False
16817007,06/07/2010 09:17:00 AM,06/07/2010 02:30:00 PM,DEP,Department of Environmental Protection,Industrial Waste,Wastewater Into Catch Basin (IEB),,10306.0,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVE,FR CAPODANNO BLVD,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the issue during a field inspection.,06/07/2010 02:30:00 PM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
16819006,06/07/2010 08:27:00 PM,06/08/2010 10:15:00 AM,DEP,Department of Environmental Protection,Water System,Other Water Problem (Use Comments) (WZZ),,10306.0,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVE,FR CAPODANNO BLVD,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",06/08/2010 10:15:00 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
18237803,07/08/2010 05:53:00 PM,07/11/2010 07:00:00 PM,DEP,Department of Environmental Protection,Industrial Waste,Wastewater Into Catch Basin (IEB),,10306.0,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVE,FR CAPODANNO BLVD,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated the complaint and issued a violation or order.,07/11/2010 07:00:00 PM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
20523244,05/27/2011 03:46:00 PM,06/01/2011 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10306.0,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/01/2011 12:00:00 PM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
15637012,01/02/2010 06:44:50 PM,,DOHMH,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,Building (Non-Residential),10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Pending,02/08/2010 06:44:50 PM,,01/04/2010 12:00:00 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
16333406,03/30/2010 04:12:05 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Pending,04/29/2010 04:12:05 PM,,04/21/2010 04:08:52 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
20312642,04/22/2011 05:08:06 PM,04/26/2011 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and referred it to the Department of Housing Preservation and Development for further action.,04/26/2011 12:00:00 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
20518043,05/27/2011 12:00:00 AM,06/01/2011 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,06/26/2011 03:48:50 PM,Please contact the Department of Health and Mental Hygiene's Pest Control Services for updated status of your Service Request by calling (718) 629-5800.,07/21/2011 12:00:00 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
20602308,06/09/2011 12:08:34 PM,08/09/2011 06:29:20 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,08/08/2011 12:08:34 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",08/09/2011 06:29:20 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
20723558,06/27/2011 12:05:00 PM,07/07/2011 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/07/2011 12:00:00 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
20734329,06/29/2011 10:49:49 AM,09/22/2011 12:22:50 PM,DOHMH,Department of Health and Mental Hygiene,Mold,Public Complaint - Comm Location,Commercial Building,10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,08/13/2011 10:49:49 AM,"The Department of Health and Mental Hygiene has reviewed your Service Request. A warning letter has been sent to the responsible party notifying them to correct the condition. An inspector will be dispatched if needed. If the condition persists 21 days after the initial report, please call 311 to file another Service Request.",09/22/2011 12:22:50 PM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,False,False
21423438,09/12/2011 07:49:16 AM,09/13/2011 12:00:00 AM,DOB,Department of Buildings,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,,10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and issued Environmental Control Board and Department of Buildings violations.,09/13/2011 12:00:00 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,True,False
23569273,07/07/2012 08:46:16 PM,07/11/2012 11:58:30 AM,DOHMH,Department of Health and Mental Hygiene,Mold,Public Complaint - Comm Location,Commercial Building,10306,630 MIDLAND AVENUE,MIDLAND AVENUE,PATTERSON AVENUE,FR CAPODANNO BOULEVARD,,,ADDRESS,STATEN ISLAND,,,Closed,08/21/2012 08:46:16 PM,The Department of Health and Mental Hygiene has reviewed your Service Request. A warning letter has been sent to the responsible party notifying them to correct the condition.,07/11/2012 11:58:30 AM,02 STATEN ISLAND,5038750026.0,STATEN ISLAND,958953.0,147390.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.57119135256031,-74.0910565040687,"(40.57119135256031, -74.0910565040687)",True,True,False
