Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26689519,11/14/2013 08:42:42 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Preparation Location,Restaurant/Bar/Deli/Bakery,10309,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,,Pending,12/21/2013 08:42:42 AM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,11/14/2013 09:49:59 AM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,False,False
26875577,12/13/2013 09:24:11 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Preparation Location,Restaurant/Bar/Deli/Bakery,10309.0,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,,Pending,01/19/2014 09:24:11 AM,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,12/13/2013 10:03:45 AM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,False,False
30586425,05/10/2015 05:54:38 PM,05/15/2015 11:40:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10309.0,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Transportation inspected this complaint and did not find the reported problem.,05/15/2015 11:40:00 AM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",False,True,False
18952919,10/21/2010 03:52:00 PM,10/23/2010 10:15:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10309.0,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE RD,STATION AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",10/23/2010 10:15:00 AM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",False,False,False
27862487,04/17/2014 06:34:03 PM,04/17/2014 07:13:45 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10309,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,04/18/2014 02:34:03 AM,The Police Department responded to the complaint and took action to fix the condition.,04/17/2014 07:13:45 PM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,False,False
29310878,11/17/2014 10:58:00 AM,11/18/2014 02:30:00 PM,DEP,Department of Environmental Protection,Industrial Waste,Wastewater Into Catch Basin (IEB),,10309,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE RD,STATION AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection investigated this complaint and found no problem.,11/18/2014 02:30:00 PM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,True,False
30380550,04/11/2015 10:40:15 PM,04/12/2015 01:24:05 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10309,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,04/12/2015 06:40:15 AM,The Police Department responded to the complaint and took action to fix the condition.,04/12/2015 01:24:05 AM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,True,False
30529951,05/02/2015 11:00:52 PM,05/02/2015 11:17:50 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10309,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,05/03/2015 07:00:52 AM,The Police Department responded to the complaint and determined that police action was not necessary.,05/02/2015 11:17:50 PM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,True,False
30953837,06/27/2015 11:37:02 PM,06/28/2015 02:42:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10309.0,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,06/28/2015 07:37:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/28/2015 02:42:57 AM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,True,False
16455265,04/15/2010 10:08:40 AM,04/30/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,10309,6323 AMBOY ROAD,AMBOY ROAD,BLOOMINGDALE ROAD,STATION AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/30/2010 12:00:00 AM,03 STATEN ISLAND,5075330153.0,STATEN ISLAND,924194.0,130068.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.523478584171045,-74.21601734082095,"(40.523478584171045, -74.21601734082095)",True,False,False
