Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
23704401,07/29/2012 01:39:14 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11211,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,,Assigned,09/04/2012 01:39:14 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",07/30/2012 04:07:06 PM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,True,True
23707101,07/30/2012 03:00:00 AM,08/08/2012 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11211.0,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,08/08/2012 12:00:00 PM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,True,True
18428198,08/06/2010 03:01:30 PM,08/09/2010 09:21:47 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,11211,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,,Closed,08/10/2010 03:01:30 PM,,08/09/2010 12:00:00 AM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,False,False
20380516,05/07/2011 05:31:38 PM,07/07/2011 06:32:34 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11211,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,,Closed,07/06/2011 05:31:38 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",07/07/2011 06:32:34 AM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,False,False
20975501,08/04/2011 10:38:14 AM,08/15/2011 12:00:00 AM,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,11211,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,08/15/2011 12:00:00 AM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,False,False
21076161,08/20/2011 09:54:52 PM,08/20/2011 11:14:13 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/21/2011 05:54:52 AM,The Police Department reviewed your complaint and provided additional information below.,08/20/2011 11:14:13 PM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,True,False
21077710,08/20/2011 11:00:44 PM,08/20/2011 11:13:12 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/21/2011 07:00:44 AM,The Police Department reviewed your complaint and provided additional information below.,08/20/2011 11:13:12 PM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,True,False
21530520,09/09/2011 01:50:12 PM,10/28/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11211.0,64 FROST STREET,FROST STREET,LORIMER STREET,MEEKER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,11/14/2011 03:10:28 PM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,True,False
23060146,04/15/2012 02:11:16 AM,04/15/2012 03:55:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/15/2012 10:11:16 AM,The Police Department responded to the complaint and took action to fix the condition.,04/15/2012 03:55:19 AM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,True,False
23124851,04/27/2012 01:19:22 AM,04/27/2012 09:13:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,64 FROST STREET,FROST STREET,LORIMER STREET,UNNAMED STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/27/2012 09:19:22 AM,The Police Department reviewed your complaint and provided additional information below.,04/27/2012 09:13:44 AM,01 BROOKLYN,3027370011.0,BROOKLYN,998214.0,200726.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71761221317022,-73.949626193618,"(40.71761221317022, -73.949626193618)",True,True,False
