Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26317155,09/16/2013 01:11:18 AM,09/16/2013 01:36:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,643 BAY STREET,BAY STREET,CANAL STREET,THOMPSON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,09/16/2013 09:11:18 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/16/2013 01:36:12 AM,01 STATEN ISLAND,5004940006.0,STATEN ISLAND,963305.0,167489.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.626370368016595,-74.07545381385819,"(40.62637036801659, -74.07545381385818)",True,True,False
26440019,10/05/2013 03:25:38 AM,10/05/2013 03:48:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10304,643 BAY STREET,BAY STREET,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,10/05/2013 11:25:38 AM,The Police Department responded to the complaint and took action to fix the condition.,10/05/2013 03:48:04 AM,01 STATEN ISLAND,,STATEN ISLAND,963387.0,167480.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.626345858407575,-74.07515838333309,"(40.62634585840758, -74.0751583833331)",True,True,True
26445802,10/06/2013 02:47:32 AM,10/06/2013 07:05:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10304.0,643 BAY STREET,BAY STREET,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,10/06/2013 10:47:32 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/06/2013 07:05:23 AM,01 STATEN ISLAND,,STATEN ISLAND,963387.0,167480.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.626345858407575,-74.07515838333309,"(40.62634585840758, -74.0751583833331)",True,True,True
26449642,10/08/2013 02:23:51 AM,10/08/2013 03:15:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10304.0,643 BAY STREET,BAY STREET,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,10/08/2013 10:23:51 AM,The Police Department responded to the complaint and took action to fix the condition.,10/08/2013 03:15:11 AM,01 STATEN ISLAND,,STATEN ISLAND,963387.0,167480.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.626345858407575,-74.07515838333309,"(40.62634585840758, -74.0751583833331)",True,True,True
26451364,10/07/2013 02:53:37 AM,10/07/2013 03:07:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10304.0,643 BAY STREET,BAY STREET,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,10/07/2013 10:53:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/07/2013 03:07:16 AM,01 STATEN ISLAND,,STATEN ISLAND,963387.0,167480.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.626345858407575,-74.07515838333309,"(40.62634585840758, -74.0751583833331)",True,True,True
26468953,10/11/2013 01:12:57 AM,10/11/2013 03:57:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,643 BAY STREET,BAY STREET,CANAL STREET,THOMPSON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/11/2013 09:12:57 AM,The Police Department responded to the complaint and took action to fix the condition.,10/11/2013 03:57:12 AM,01 STATEN ISLAND,5004940006.0,STATEN ISLAND,963305.0,167489.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.626370368016595,-74.07545381385819,"(40.62637036801659, -74.07545381385818)",True,True,True
26475767,10/14/2013 12:07:45 AM,10/14/2013 01:14:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10304,643 BAY STREET,BAY STREET,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,10/14/2013 08:07:45 AM,The Police Department responded to the complaint and took action to fix the condition.,10/14/2013 01:14:26 AM,01 STATEN ISLAND,,STATEN ISLAND,963387.0,167480.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.626345858407575,-74.07515838333309,"(40.62634585840758, -74.0751583833331)",True,True,True
26476645,10/14/2013 02:14:19 AM,10/14/2013 04:54:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10304,643 BAY STREET,BAY STREET,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,10/14/2013 10:14:19 AM,The Police Department responded to the complaint and took action to fix the condition.,10/14/2013 04:54:08 AM,01 STATEN ISLAND,,STATEN ISLAND,963387.0,167480.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.626345858407575,-74.07515838333309,"(40.62634585840758, -74.0751583833331)",True,True,True
26477248,10/14/2013 03:03:54 AM,10/14/2013 04:54:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10304,643 BAY STREET,BAY STREET,CANAL STREET,THOMPSON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/14/2013 11:03:54 AM,The Police Department responded to the complaint and took action to fix the condition.,10/14/2013 04:54:07 AM,01 STATEN ISLAND,5004940006.0,STATEN ISLAND,963305.0,167489.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.626370368016595,-74.07545381385819,"(40.62637036801659, -74.07545381385818)",True,True,True
26477728,10/13/2013 01:15:32 AM,10/13/2013 02:02:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10304,643 BAY STREET,BAY STREET,,,,,LATLONG,STATEN ISLAND,,Precinct,Closed,10/13/2013 09:15:32 AM,The Police Department responded to the complaint and took action to fix the condition.,10/13/2013 02:02:42 AM,01 STATEN ISLAND,,STATEN ISLAND,963387.0,167480.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.626345858407575,-74.07515838333309,"(40.62634585840758, -74.0751583833331)",True,True,True
