Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27013630,12/30/2013 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,01/06/2014 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,PHONE,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",True,True,True
25504595,05/08/2013 05:43:00 PM,05/16/2013 08:11:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,10455.0,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided but received no response.,05/16/2013 08:11:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,PHONE,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",True,True,False
20532586,05/30/2011 12:00:00 AM,06/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/04/2011 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",False,False,False
20532709,05/30/2011 12:00:00 AM,06/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/04/2011 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",False,False,False
20532922,05/30/2011 12:00:00 AM,06/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/04/2011 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",True,False,False
20532923,05/30/2011 12:00:00 AM,06/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/04/2011 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",True,False,False
20532925,05/30/2011 12:00:00 AM,06/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,06/04/2011 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",False,False,False
20532926,05/30/2011 12:00:00 AM,06/04/2011 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,06/04/2011 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",True,False,False
20560082,06/03/2011 12:00:00 AM,06/16/2011 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Closed,07/03/2011 09:34:34 AM,Please contact the Department of Health and Mental Hygiene's Pest Control Services for updated status of your complaint by calling (718) 583-6133.,06/16/2011 12:00:00 AM,Unspecified BRONX,2026860017.0,BRONX,1011287.0,236733.0,PHONE,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",True,False,False
20563780,06/03/2011 12:00:00 AM,,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,10455,658 DAWSON STREET,DAWSON STREET,BEND,LEGGETT AVENUE,,,ADDRESS,BRONX,,,Open,,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 579-6777 (BRONX).",06/20/2011 12:00:00 AM,02 BRONX,2026860017.0,BRONX,1011287.0,236733.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.816411730503205,-73.90232177469154,"(40.8164117305032, -73.90232177469154)",False,False,False
