Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16628956,05/08/2010 12:22:00 PM,05/11/2010 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,EAST 152 STREET,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,05/11/2010 12:00:00 AM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,PHONE,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,False,False
23856301,08/23/2012 10:05:00 AM,09/12/2012 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,E 152 ST,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",09/12/2012 12:00:00 AM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,PHONE,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
23885245,08/28/2012 06:59:00 PM,08/28/2012 09:00:00 PM,DEP,Department of Environmental Protection,Hazardous Materials,"Oil Spill On Street, Large (HQL)",,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,E 152 ST,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,08/28/2012 09:00:00 PM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
23960971,09/06/2012 12:34:00 PM,09/06/2012 01:28:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,E 152 ST,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09/06/2012 01:28:00 PM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
24279592,10/28/2012 05:55:00 PM,10/28/2012 07:13:00 PM,DEP,Department of Environmental Protection,Hazardous Materials,"Unsafe Chemical, Storage (HC1)",,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,E 152 ST,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,10/28/2012 07:13:00 PM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
24436310,11/19/2012 03:55:00 PM,11/20/2012 11:20:00 AM,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,E 152 ST,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",11/20/2012 11:20:00 AM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,PHONE,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
24446097,11/20/2012 12:18:00 PM,11/20/2012 01:21:00 PM,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,E 152 ST,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,11/20/2012 01:21:00 PM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,PHONE,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
16496918,04/21/2010 01:30:32 PM,06/16/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10455,671 PROSPECT AVENUE,PROSPECT AVENUE,EAST 152 STREET,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,07/12/2010 12:47:40 PM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,OTHER,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,False,False
23554242,07/05/2012 02:45:48 PM,09/07/2012 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10455,671 PROSPECT AVENUE,PROSPECT AVENUE,EAST 152 STREET,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,09/14/2012 10:41:19 AM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
24952215,02/06/2013 02:41:34 PM,05/24/2013 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10455.0,671 PROSPECT AVENUE,PROSPECT AVENUE,EAST 152 STREET,AVENUE ST JOHN,,,ADDRESS,BRONX,,,Closed,,"The City inspected the property for cleaning, but no graffiti was found.",05/29/2013 03:44:36 PM,01 BRONX,2026750026.0,BRONX,1011011.0,236395.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81548485615584,-73.90332024370039,"(40.81548485615584, -73.90332024370039)",True,True,False
