Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
20847061,07/16/2011 09:45:08 AM,07/16/2011 09:45:08 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,07/16/2011 12:00:00 AM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
21594895,10/06/2011 01:50:19 PM,11/28/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,12/07/2011 03:01:04 PM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
21712285,10/22/2011 10:21:21 AM,10/29/2011 11:03:21 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Street,11225,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,,Closed,11/21/2011 10:21:21 AM,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,10/29/2011 11:03:22 AM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
22394058,12/27/2011 12:08:43 AM,12/27/2011 04:07:43 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/27/2011 08:08:43 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/27/2011 04:07:43 PM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
22395086,12/26/2011 04:32:16 AM,12/27/2011 04:10:05 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/26/2011 12:32:16 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/27/2011 04:10:05 PM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
22430089,01/02/2012 12:12:00 AM,01/02/2012 05:59:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/02/2012 08:12:00 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2012 05:59:48 AM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
22512842,01/13/2012 03:51:30 AM,01/13/2012 07:31:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/13/2012 11:51:30 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,01/13/2012 07:31:18 AM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
22518598,01/14/2012 02:25:57 AM,01/14/2012 06:03:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/14/2012 10:25:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/14/2012 06:03:52 AM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
22524084,01/15/2012 06:31:50 PM,01/15/2012 08:56:04 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/16/2012 02:31:50 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/15/2012 08:56:04 PM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
22525233,01/15/2012 11:44:53 PM,01/16/2012 03:55:42 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225.0,673 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/16/2012 07:44:53 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/16/2012 03:55:42 AM,09 BROOKLYN,3050450005.0,BROOKLYN,995310.0,178581.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65683338092396,-73.96013844922616,"(40.65683338092396, -73.96013844922616)",True,False,False
