Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26511991,10/18/2013 11:28:09 PM,12/02/2013 02:36:21 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10014,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,12/05/2013 09:40:11 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,12/02/2013 02:36:21 PM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,PHONE,Unspecified,MANHATTAN,,,Intersection,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",False,False,False
26514191,10/19/2013 05:22:40 PM,10/19/2013 07:18:04 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10014,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/20/2013 01:22:40 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/19/2013 07:18:04 PM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
26875728,12/13/2013 09:33:04 PM,12/14/2013 12:36:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014.0,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/14/2013 05:33:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/14/2013 12:36:53 AM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
26877644,12/13/2013 09:37:16 PM,12/14/2013 12:36:54 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014.0,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/14/2013 05:37:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/14/2013 12:36:54 AM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
27046013,01/03/2014 12:52:32 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10014.0,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,,Open,02/17/2014 12:52:32 PM,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/21/2014 01:23:58 PM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
28235393,06/11/2014 05:48:00 PM,06/12/2014 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10014.0,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/12/2014 12:00:00 PM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
26356256,09/21/2013 11:33:00 AM,09/22/2013 01:46:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10014.0,675 HUDSON STREET,HUDSON STREET,W 13 ST,9 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/22/2013 01:46:00 PM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",False,False,False
27455921,02/17/2014 09:11:35 PM,02/18/2014 01:01:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10014,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,02/18/2014 05:11:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/18/2014 01:00:37 AM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
27723243,03/26/2014 11:47:16 PM,03/27/2014 12:02:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,03/27/2014 07:47:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/27/2014 12:02:56 AM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
27885283,04/21/2014 10:25:12 PM,04/21/2014 11:58:48 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014,675 HUDSON STREET,HUDSON STREET,WEST 13 STREET,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,04/22/2014 06:25:12 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/21/2014 11:58:48 PM,02 MANHATTAN,1006290001.0,MANHATTAN,982800.0,209012.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.740366160880974,-74.00523252363153,"(40.74036616088098, -74.00523252363153)",True,False,False
