Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26441231,10/05/2013 11:22:39 PM,10/06/2013 12:35:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,10/06/2013 07:22:39 AM,The Police Department responded to the complaint and took action to fix the condition.,10/06/2013 12:35:18 AM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
26441418,10/06/2013 01:08:08 AM,10/06/2013 02:11:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,10/06/2013 09:08:08 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/06/2013 02:11:39 AM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
26441799,10/05/2013 11:23:14 PM,10/06/2013 12:35:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,10/06/2013 07:23:14 AM,The Police Department responded to the complaint and took action to fix the condition.,10/06/2013 12:35:15 AM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
26443378,10/05/2013 11:51:07 PM,10/06/2013 12:35:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385.0,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,10/06/2013 07:51:07 AM,The Police Department responded to the complaint and took action to fix the condition.,10/06/2013 12:35:13 AM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
26562325,10/26/2013 01:00:41 AM,10/26/2013 04:15:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385.0,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,10/26/2013 09:00:41 AM,The Police Department responded to the complaint and took action to fix the condition.,10/26/2013 04:15:22 AM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
27123122,01/11/2014 12:25:39 AM,01/11/2014 05:14:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,01/11/2014 08:25:39 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2014 05:14:54 AM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
21860304,11/11/2011 02:25:53 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11385.0,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,,Assigned,12/18/2011 02:25:53 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",11/14/2011 04:52:51 PM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,PHONE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
23327337,05/30/2012 07:38:02 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11385.0,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,,Assigned,07/06/2012 07:38:02 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",05/31/2012 12:52:06 PM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,PHONE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
28692067,08/15/2014 11:52:00 AM,08/20/2014 12:00:00 PM,DSNY,A - Queens,Other Enforcement,E2A Storage Of Receptacles,Sidewalk,11385.0,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,Ridgewood,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/20/2014 12:00:00 PM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,PHONE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
28878450,09/14/2014 06:15:29 PM,09/14/2014 07:33:22 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385.0,678 WOODWARD AVENUE,WOODWARD AVENUE,GATES AVENUE,PALMETTO STREET,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,09/15/2014 02:15:29 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/14/2014 07:33:22 PM,05 QUEENS,4034680039.0,QUEENS,1010257.0,196209.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.705186923538825,-73.90619968670076,"(40.70518692353883, -73.90619968670075)",True,False,False
