Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15989751,02/13/2010 12:41:57 AM,02/13/2010 04:40:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,02/13/2010 08:41:57 AM,,02/13/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
16038615,02/19/2010 10:48:19 PM,02/19/2010 11:49:11 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378.0,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,02/20/2010 06:48:19 AM,,02/19/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
16368848,04/03/2010 11:50:12 PM,04/04/2010 02:00:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378.0,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,04/04/2010 07:50:12 AM,,04/04/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
17552646,07/01/2010 12:28:55 AM,07/01/2010 03:22:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,07/01/2010 08:28:55 AM,,07/01/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
18401464,08/03/2010 11:42:29 PM,08/04/2010 02:17:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,08/04/2010 07:42:29 AM,,08/04/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
18523741,08/21/2010 12:33:20 AM,08/21/2010 12:47:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,08/21/2010 08:33:20 AM,,08/21/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
18484992,08/15/2010 12:05:53 AM,08/15/2010 03:11:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,08/15/2010 08:05:53 AM,,08/15/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
18664567,09/12/2010 01:05:11 AM,09/12/2010 04:12:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378.0,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,09/12/2010 09:05:11 AM,,09/12/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
19045090,11/05/2010 12:51:15 AM,11/05/2010 02:18:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11378,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,11/05/2010 08:51:15 AM,The Police Department responded to the complaint and took action to fix the condition.,11/05/2010 12:00:00 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
19192153,11/24/2010 10:36:14 PM,11/25/2010 01:14:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11378,69-38 GRAND AVENUE,GRAND AVENUE,69 PLACE,69 LANE,,,ADDRESS,MASPETH,,Precinct,Closed,11/25/2010 06:36:14 AM,The Police Department responded to the complaint and took action to fix the condition.,11/25/2010 01:14:39 AM,05 QUEENS,4027920006.0,QUEENS,1013588.0,204023.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72662405006236,-73.89415161404234,"(40.72662405006236, -73.89415161404234)",True,False,False
