Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
30082209,03/03/2015 10:13:15 AM,05/11/2015 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10474.0,706 FAILE STREET,FAILE STREET,,,,,ADDRESS,BRONX,,,Closed,04/08/2015 10:00:58 AM,The City has removed the graffiti from this property.,05/12/2015 11:51:29 AM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
29165984,10/28/2014 01:28:50 PM,10/28/2014 03:29:38 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10474.0,706 FAILE STREET,FAILE STREET,,,,,LATLONG,BRONX,,Precinct,Closed,10/28/2014 09:28:50 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/28/2014 03:29:38 PM,02 BRONX,,BRONX,1015658.0,236135.0,MOBILE,Unspecified,BRONX,,,,,,,,40.81475593006237,-73.88653321025791,"(40.81475593006237, -73.88653321025791)",True,False,False
30115301,03/06/2015 12:37:00 PM,03/07/2015 07:00:00 PM,DEP,Department of Environmental Protection,Water System,LOW WATER PRESSURE - WLWP,,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVE,HUNTS POINT AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,03/07/2015 07:00:00 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,PHONE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
35167183,01/04/2017 08:32:37 PM,01/04/2017 11:21:17 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/05/2017 04:32:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/04/2017 11:21:17 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,PHONE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",False,True,True
15804435,01/25/2010 09:00:43 AM,03/17/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,03/30/2010 11:24:30 AM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
16553212,04/29/2010 07:31:00 AM,05/11/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,06/02/2010 04:45:33 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
18991102,10/27/2010 12:14:31 PM,11/02/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10474.0,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,11/09/2010 10:58:17 AM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
19763728,02/04/2011 10:21:37 AM,03/08/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,03/22/2011 12:16:36 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
19961402,03/04/2011 03:16:34 PM,03/04/2011 03:16:34 PM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued a violation.,03/04/2011 12:00:00 AM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
21554900,09/30/2011 12:00:00 AM,11/14/2011 03:24:47 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,10/30/2011 12:03:36 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,11/14/2011 03:24:47 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,PHONE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
21556580,09/30/2011 12:00:00 AM,11/14/2011 03:24:47 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,10/30/2011 11:54:41 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,11/14/2011 03:24:47 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,PHONE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
21840056,11/08/2011 03:04:07 PM,11/29/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10474.0,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,12/07/2011 03:01:05 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
23854103,08/22/2012 11:01:19 AM,08/29/2013 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,,Closed,,The City has removed the graffiti from this property.,09/04/2013 03:37:02 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
23988948,09/09/2012 06:46:28 AM,09/09/2012 07:23:10 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10474.0,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/09/2012 02:46:28 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/09/2012 07:23:10 AM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,PHONE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
24072835,09/22/2012 10:43:27 PM,09/22/2012 11:14:22 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10474,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/23/2012 06:43:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/22/2012 11:14:22 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,PHONE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
24023158,09/15/2012 01:06:45 AM,09/15/2012 01:55:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10474.0,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/15/2012 09:06:45 AM,The Police Department responded to the complaint and took action to fix the condition.,09/15/2012 01:55:41 AM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,ONLINE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
24032007,09/16/2012 07:05:42 AM,09/16/2012 04:50:18 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10474.0,706 FAILE STREET,FAILE STREET,SPOFFORD AVENUE,HUNTS POINT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,09/16/2012 03:05:42 PM,The Police Department responded to the complaint and took action to fix the condition.,09/16/2012 04:50:18 PM,02 BRONX,2027630185.0,BRONX,1015661.0,236118.0,PHONE,Unspecified,BRONX,,,,,,,,40.81470925918767,-73.88652245181558,"(40.81470925918767, -73.88652245181558)",True,False,False
