Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26602400,10/31/2013 10:57:17 PM,11/01/2013 12:45:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11228.0,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,,,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/01/2013 06:57:17 AM,The Police Department responded to the complaint and took action to fix the condition.,11/01/2013 12:45:06 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,True,False
26700064,11/17/2013 12:10:49 AM,11/17/2013 04:44:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11228.0,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,,,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/17/2013 08:10:49 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/17/2013 04:44:16 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,True,False
26984760,12/25/2013 02:56:15 AM,12/25/2013 03:34:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,,,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/25/2013 10:56:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/25/2013 03:34:23 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,True,False
27591402,03/08/2014 11:58:55 PM,03/09/2014 12:56:45 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,,,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/09/2014 07:58:55 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/09/2014 12:56:45 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,True,False
27779981,04/03/2014 07:07:41 PM,04/08/2014 02:55:05 PM,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11228.0,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,04/13/2014 07:07:41 PM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,04/08/2014 02:55:05 PM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",False,True,False
27811132,04/08/2014 06:16:00 AM,04/20/2014 02:20:00 PM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 ST,16 AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the issue.,04/20/2014 02:20:00 PM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",False,True,False
21722522,10/24/2011 12:20:29 PM,12/12/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,12/19/2011 11:54:24 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24524756,12/04/2012 01:34:06 AM,12/04/2012 05:51:03 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/04/2012 09:34:06 AM,The Police Department responded to the complaint and took action to fix the condition.,12/04/2012 05:51:03 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24628187,12/20/2012 01:21:39 AM,12/20/2012 02:19:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228.0,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/20/2012 09:21:39 AM,The Police Department responded to the complaint and took action to fix the condition.,12/20/2012 02:19:33 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24772180,01/13/2013 01:51:14 AM,01/13/2013 02:01:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/13/2013 09:51:14 AM,The Police Department responded to the complaint and took action to fix the condition.,01/13/2013 02:01:21 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24801220,01/18/2013 01:19:55 AM,01/18/2013 02:18:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/18/2013 09:19:55 AM,The Police Department responded to the complaint and took action to fix the condition.,01/18/2013 02:18:06 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24812129,01/19/2013 01:46:07 AM,01/19/2013 03:07:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/19/2013 09:46:07 AM,The Police Department responded to the complaint and took action to fix the condition.,01/19/2013 03:07:02 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24812705,01/19/2013 01:23:24 AM,01/19/2013 03:03:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/19/2013 09:23:24 AM,The Police Department responded to the complaint and took action to fix the condition.,01/19/2013 03:03:58 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24822102,01/21/2013 03:31:21 AM,01/21/2013 06:17:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/21/2013 11:31:21 AM,The Police Department responded to the complaint and took action to fix the condition.,01/21/2013 06:17:36 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24887409,01/29/2013 01:28:32 AM,01/29/2013 03:38:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228.0,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/29/2013 09:28:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/29/2013 03:38:14 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
24999034,02/15/2013 12:13:53 AM,02/15/2013 07:25:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/15/2013 08:13:53 AM,The Police Department responded to the complaint and took action to fix the condition.,02/15/2013 07:25:57 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
25000606,02/15/2013 12:05:37 AM,02/15/2013 07:25:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/15/2013 08:05:37 AM,The Police Department responded to the complaint and took action to fix the condition.,02/15/2013 07:25:59 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
25003657,02/16/2013 02:18:20 AM,02/16/2013 03:51:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/16/2013 10:18:20 AM,The Police Department responded to the complaint and took action to fix the condition.,02/16/2013 03:51:51 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
25105666,03/03/2013 11:24:12 PM,03/04/2013 01:16:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/04/2013 07:24:12 AM,The Police Department responded to the complaint and took action to fix the condition.,03/04/2013 01:16:59 AM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,False,False
27279235,01/28/2014 06:22:15 AM,05/06/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11228,7210 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,72 STREET,16 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/02/2014 03:32:17 PM,The City has removed the graffiti from this property.,05/12/2014 04:01:33 PM,11 BROOKLYN,3061910039.0,BROOKLYN,984440.0,164451.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.618056450318505,-73.99931561531406,"(40.61805645031851, -73.99931561531407)",True,True,False
