Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26422738,10/02/2013 12:00:00 AM,10/03/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10014,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,,Closed,,More than one complaint was received for this building-wide condition.This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition sti,10/03/2013 12:00:00 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,True,True
26428990,10/04/2013 12:15:52 AM,10/04/2013 12:44:52 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10014,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/04/2013 08:15:52 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/04/2013 12:44:52 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,True,True
26437090,10/05/2013 01:18:30 AM,10/05/2013 01:43:24 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/05/2013 09:18:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/05/2013 01:43:24 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,True,True
26397913,09/28/2013 12:00:00 AM,10/24/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,RESIDENTIAL BUILDING,10014.0,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/24/2013 12:00:00 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",False,True,True
26399132,09/28/2013 12:00:00 AM,10/03/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10014.0,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists, please file a new complaint.",10/03/2013 12:00:00 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,True,True
26406229,09/30/2013 12:00:00 AM,10/03/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10014.0,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,,Closed,,More than one complaint was received for this building-wide condition.This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still e,10/03/2013 12:00:00 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,True,True
26826489,10/12/2013 12:41:04 AM,10/12/2013 02:09:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10014.0,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/12/2013 08:41:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/12/2013 02:09:00 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,True,True
21605019,10/08/2011 02:01:34 AM,10/08/2011 02:21:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/08/2011 10:01:34 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/08/2011 02:21:22 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,False,False
21613636,10/09/2011 03:05:43 AM,10/09/2011 06:56:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/09/2011 11:05:43 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/09/2011 06:56:41 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,False,False
21696275,10/20/2011 11:43:35 PM,10/21/2011 12:21:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,733 WASHINGTON STREET,WASHINGTON STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/2011 07:43:35 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,10/21/2011 12:21:35 AM,02 MANHATTAN,1006357502.0,MANHATTAN,981950.0,207532.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.736303747410034,-74.00829935904578,"(40.736303747410034, -74.00829935904578)",True,False,False
