Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27184307,01/18/2014 02:28:50 AM,01/18/2014 04:57:07 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/18/2014 10:28:50 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/18/2014 04:57:07 AM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",True,False,False
29620366,01/03/2015 12:45:04 AM,01/03/2015 01:05:04 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238.0,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/03/2015 08:45:04 AM,The Police Department responded to the complaint and took action to fix the condition.,01/03/2015 01:05:04 AM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",True,False,False
27495666,02/22/2014 02:05:47 AM,02/22/2014 05:28:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/22/2014 10:05:47 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/22/2014 05:28:05 AM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",True,False,False
28072735,05/19/2014 02:24:00 PM,05/21/2014 12:00:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11238.0,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHN'S PL,LINCOLN PL,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",05/21/2014 12:00:00 PM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",False,False,False
28852204,09/10/2014 11:52:10 PM,09/11/2014 01:39:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11238,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/11/2014 07:52:10 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2014 01:39:26 AM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",True,False,False
29072669,10/15/2014 09:54:58 PM,10/15/2014 11:10:54 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,778 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,LATLONG,BROOKLYN,,Precinct,Closed,10/16/2014 05:54:58 AM,The Police Department responded to the complaint and took action to fix the condition.,10/15/2014 11:10:54 PM,08 BROOKLYN,,BROOKLYN,995953.0,184078.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67192059921748,-73.9578114596007,"(40.67192059921748, -73.9578114596007)",True,False,False
29198380,11/01/2014 05:23:00 AM,11/01/2014 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11238.0,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHN'S PL,LINCOLN PL,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",11/01/2014 09:30:00 AM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",False,False,False
29422092,12/04/2014 12:32:13 AM,12/04/2014 06:24:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/04/2014 08:32:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/04/2014 06:24:19 AM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",True,False,False
29626580,01/03/2015 05:16:34 AM,01/03/2015 08:28:02 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11238.0,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/03/2015 01:16:34 PM,The Police Department responded to the complaint and took action to fix the condition.,01/03/2015 08:28:02 PM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",True,False,False
29687584,01/11/2015 12:36:29 AM,01/11/2015 12:48:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,778 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/11/2015 08:36:29 AM,The Police Department responded to the complaint and took action to fix the condition.,01/11/2015 12:48:39 AM,08 BROOKLYN,3011780049.0,BROOKLYN,996035.0,184090.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67195342774557,-73.95751583409385,"(40.671953427745564, -73.95751583409385)",True,False,False
