Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26240117,09/01/2013 12:30:45 PM,09/17/2013 01:06:48 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Mandatory Tip,,10016,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Closed,09/18/2013 10:19:42 AM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",09/17/2013 01:06:48 AM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26273455,09/07/2013 05:14:20 PM,09/07/2013 08:25:22 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/08/2013 01:14:20 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/07/2013 08:25:23 PM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26357475,09/21/2013 04:34:29 PM,09/21/2013 04:45:53 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/22/2013 12:34:29 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/21/2013 04:45:53 PM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26398031,09/28/2013 05:17:10 PM,09/28/2013 10:40:12 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016.0,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/29/2013 01:17:10 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/28/2013 10:40:12 PM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26443385,10/05/2013 03:40:26 PM,10/05/2013 05:34:02 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016.0,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/05/2013 11:40:26 PM,The Police Department responded to the complaint and determined that police action was not necessary.,10/05/2013 05:34:02 PM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26446156,10/06/2013 04:46:12 AM,10/06/2013 06:43:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016.0,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/06/2013 12:46:12 PM,The Police Department responded to the complaint and took action to fix the condition.,10/06/2013 06:43:53 AM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26695182,11/15/2013 09:30:00 AM,,DOHMH,Department of Health and Mental Hygiene,Asbestos,,Other (Explain Below),10016.0,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,,Open,12/30/2013 09:30:00 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in complainant contact or an inspection by the agency. The Department may contact you if you provided a phone number.  Status will be available 45 days after the date of your complaint by calling 311.  Please note your service request number for future reference.,,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26700315,11/16/2013 06:36:08 PM,11/16/2013 09:24:56 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016.0,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/17/2013 02:36:08 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/16/2013 09:24:56 PM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,False
26675915,11/13/2013 07:56:59 PM,11/14/2013 01:18:27 AM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10016.0,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/14/2013 03:56:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/14/2013 01:18:27 AM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",False,True,False
27123798,01/11/2014 03:35:55 PM,01/11/2014 03:40:58 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,79 MADISON AVENUE,MADISON AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/11/2014 11:35:55 PM,The Police Department responded to the complaint and determined that police action was not necessary.,01/11/2014 03:40:58 PM,05 MANHATTAN,1008580022.0,MANHATTAN,988235.0,210371.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74409549811215,-73.98561877658392,"(40.74409549811215, -73.98561877658392)",True,True,True
