Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26220403,08/29/2013 11:51:27 PM,08/30/2013 12:12:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,ELMHURST,,Precinct,Closed,08/30/2013 07:51:27 AM,The Police Department responded to the complaint and took action to fix the condition.,08/30/2013 12:12:44 AM,04 QUEENS,4015360135.0,QUEENS,1016269.0,208626.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",True,True,False
15936520,02/04/2010 01:08:00 PM,02/05/2010 09:00:00 AM,DEP,Department of Environmental Protection,Sewer,Manhole Sunken/Damaged/Raised (SB1),,11373.0,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVE,,,ADDRESS,Elmhurst,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the issue with the sewer manhole cover.,02/05/2010 09:00:00 AM,04 QUEENS,4015360120.0,QUEENS,1016269.0,208626.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",False,False,False
19291379,12/07/2010 01:08:00 PM,12/07/2010 01:08:00 PM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11373.0,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVE,,,ADDRESS,Elmhurst,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",12/07/2010 01:24:00 PM,04 QUEENS,4015360120.0,QUEENS,1016269.0,208626.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",False,False,False
19292282,12/07/2010 02:11:00 PM,12/15/2010 12:00:00 PM,DSNY,A - Queens,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,11373.0,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,ELMHURST,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",12/15/2010 12:00:00 PM,04 QUEENS,4015360135.0,QUEENS,1016269.0,208626.0,PHONE,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",True,False,False
23659263,07/21/2012 07:00:00 PM,08/02/2012 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11373.0,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,ELMHURST,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,08/02/2012 12:00:00 PM,04 QUEENS,4015360135.0,QUEENS,1016269.0,208626.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",True,False,False
23671245,07/22/2012 06:04:41 PM,10/10/2012 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11373,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,Elmhurst,,,Closed,,The Department of Buildings investigated this complaint and referred it to the New York Police Department for further action.,10/10/2012 12:00:00 AM,04 QUEENS,4015360120.0,QUEENS,1016269.0,208626.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",True,False,False
23657223,07/21/2012 06:44:19 PM,07/24/2012 11:19:58 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Sidewalk Blocked,,11373,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,ELMHURST,,,Closed,07/25/2012 06:44:19 PM,The Department of Consumer Affairs has determined that this issue is not within its jurisdiction. It has been referred to the New York Police Department.,07/24/2012 11:19:58 AM,04 QUEENS,4015360135.0,QUEENS,1016269.0,208626.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",True,False,False
23659150,07/21/2012 06:50:11 PM,08/15/2012 11:14:09 AM,DOT,Department of Transportation,Sidewalk Condition,Curb Painted,Sidewalk,11373,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,ELMHURST,,,Closed,07/31/2012 06:50:11 PM,The Department of Transportation inspected the condition and issued a notice to the responsible party to correct the condition.,08/15/2012 11:14:09 AM,04 QUEENS,4015360135.0,QUEENS,1016269.0,208626.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",False,False,False
24154058,10/06/2012 11:26:12 PM,10/07/2012 02:24:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,ELMHURST,,Precinct,Closed,10/07/2012 07:26:12 AM,The Police Department responded to the complaint and took action to fix the condition.,10/07/2012 02:24:13 AM,04 QUEENS,4015360135.0,QUEENS,1016269.0,208626.0,PHONE,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",True,False,False
25246472,03/25/2013 01:20:32 PM,03/25/2013 01:30:34 PM,DOB,DOB Inspections - Queens,Construction,Initial - CO,Street Address,11373.0,79-51 ALBION AVENUE,ALBION AVENUE,BEND,BARNWELL AVENUE,,,ADDRESS,ELMHURST,,,Closed,03/29/2013 01:20:32 PM,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,03/25/2013 01:26:44 PM,04 QUEENS,4015360135.0,QUEENS,1016269.0,208626.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.739248844818526,-73.88445695649304,"(40.73924884481852, -73.88445695649304)",False,True,False
