Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16121278,03/02/2010 11:09:00 AM,03/07/2010 01:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Loud Music/Nighttime(Mark Date And Time) (NP1),,11211.0,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT ST,BUSHWICK AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection observed a violation of the New York City Air/Noise Code at the time of inspection and issued a notice of violation.,03/07/2010 01:00:00 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000148.0,199661.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71468577979757,-73.94265198900972,"(40.71468577979757, -73.94265198900972)",True,False,False
15740455,01/15/2010 11:04:59 PM,01/15/2010 11:21:00 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/16/2010 07:04:59 AM,,01/15/2010 12:00:00 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
16135746,03/04/2010 11:40:30 PM,03/05/2010 03:00:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/05/2010 07:40:30 AM,,03/05/2010 12:00:00 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
16184057,03/10/2010 10:24:37 AM,04/26/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The City has removed the graffiti from this property.,05/07/2010 12:00:44 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000148.0,199661.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71468577979757,-73.94265198900972,"(40.71468577979757, -73.94265198900972)",True,False,False
18740161,09/22/2010 05:22:17 PM,09/22/2010 05:48:58 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/23/2010 01:22:17 AM,,09/22/2010 12:00:00 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
18740774,09/22/2010 05:30:05 PM,07/13/2011 08:56:35 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,10/29/2010 10:52:21 AM,"The Department of Consumer Affairs inspected the business you named in your Service Request. To check results, call 311 with your Service Request Number and ask for Service Request Status - DCA.",09/23/2010 10:52:21 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
19074268,11/08/2010 05:04:44 PM,07/13/2011 08:56:11 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,12/15/2010 03:17:51 PM,"The Department of Consumer Affairs inspected the business you named in your Service Request. To check results, call 311 with your Service Request Number and ask for Service Request Status - DCA.",11/09/2010 03:17:51 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20300579,04/25/2011 09:30:31 PM,04/25/2011 09:41:21 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/26/2011 05:30:31 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/25/2011 09:41:21 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20330525,04/29/2011 02:59:06 PM,05/02/2011 02:55:52 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/03/2011 02:59:06 PM,"The Department of Consumer Affairs has received your report. This request is under investigation. The Department of Consumer Affairs will work with other relevant City agencies and take enforcement action, as necessary.",05/02/2011 02:55:52 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20366594,05/05/2011 09:21:54 AM,05/05/2011 11:54:05 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/05/2011 05:21:54 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,05/05/2011 11:54:05 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20366901,05/05/2011 11:50:01 PM,05/06/2011 03:16:51 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/06/2011 07:50:01 AM,The Police Department responded to the complaint and took action to fix the condition.,05/06/2011 03:16:51 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20369302,05/05/2011 04:59:55 PM,05/06/2011 02:07:38 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/09/2011 04:59:55 PM,"The Department of Consumer Affairs has received your report. This request is under investigation. The Department of Consumer Affairs will work with other relevant City agencies and take enforcement action, as necessary.",05/06/2011 02:07:38 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20369303,05/05/2011 05:00:46 PM,07/13/2011 08:37:05 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,06/11/2011 02:04:43 PM,"The Department of Consumer Affairs inspected the business you named in your Service Request. To check results, call 311 with your Service Request Number and ask for Service Request Status - DCA.",05/06/2011 02:04:43 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20412682,05/12/2011 10:40:27 PM,05/12/2011 10:51:57 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/13/2011 06:40:27 AM,The Police Department responded to the complaint and took action to fix the condition.,05/12/2011 10:51:57 PM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20938830,07/30/2011 02:52:19 AM,07/30/2011 02:53:14 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,,07/30/2011 02:54:49 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
20939403,07/30/2011 03:07:16 AM,07/30/2011 05:45:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/30/2011 11:07:16 AM,,07/30/2011 05:45:33 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000164.0,199662.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.714688495792615,-73.94259427071209,"(40.714688495792615, -73.94259427071209)",True,False,False
21030785,08/13/2011 09:08:03 AM,08/13/2011 09:08:03 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11211,790 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Environmental Control Board violation.,08/13/2011 12:00:00 AM,01 BROOKLYN,3027660007.0,BROOKLYN,1000148.0,199661.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.71468577979757,-73.94265198900972,"(40.71468577979757, -73.94265198900972)",True,False,False
