Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27193140,01/20/2014 01:53:45 AM,01/20/2014 04:36:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11217,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/20/2014 09:53:45 AM,The Police Department responded to the complaint and took action to fix the condition.,01/20/2014 04:36:25 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27637746,03/15/2014 12:22:01 AM,03/15/2014 12:49:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/15/2014 08:22:01 AM,The Police Department responded to the complaint and took action to fix the condition.,03/15/2014 12:49:03 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27641010,03/16/2014 01:07:04 AM,03/16/2014 01:43:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/16/2014 09:07:04 AM,The Police Department responded to the complaint and took action to fix the condition.,03/16/2014 01:43:01 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27688260,03/21/2014 02:05:26 PM,03/21/2014 02:05:26 PM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/21/2014 12:00:00 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27689659,03/21/2014 12:46:38 PM,03/21/2014 12:46:38 PM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/21/2014 12:00:00 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27706528,03/24/2014 10:36:51 AM,03/24/2014 10:36:51 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/24/2014 12:00:00 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27708865,03/24/2014 10:50:01 AM,,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,03/24/2014 12:00:00 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27709819,03/24/2014 10:29:51 AM,03/24/2014 10:29:51 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/24/2014 12:00:00 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27710898,03/24/2014 11:13:20 AM,03/24/2014 11:13:20 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",03/24/2014 12:00:00 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
27721337,03/26/2014 01:02:06 PM,03/26/2014 01:02:06 PM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11217.0,80 LAFAYETTE AVENUE,LAFAYETTE AVENUE,SOUTH ELLIOTT PLACE,SOUTH PORTLAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",03/26/2014 12:00:00 AM,02 BROOKLYN,3021160021.0,BROOKLYN,991250.0,189631.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.68716729285692,-73.97475969401174,"(40.68716729285692, -73.97475969401174)",True,True,False
