Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26369337,09/24/2013 03:53:57 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10468,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,,Open,11/08/2013 03:53:57 PM,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,09/25/2013 09:34:55 AM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,PHONE,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,False,False
27139933,01/13/2014 04:20:23 AM,01/13/2014 06:54:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10468.0,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,Precinct,Closed,01/13/2014 12:20:23 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/13/2014 06:54:25 AM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,PHONE,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,False,False
35711615,03/15/2017 09:51:00 AM,03/15/2017 12:41:00 PM,DEP,Department of Environmental Protection,Hazardous Materials,"Oil Spill On Street, Large (HQL)",,10468,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVE W,UNIVERSITY AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,03/15/2017 12:41:00 PM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,OTHER,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,True,False
27534812,02/27/2014 04:42:17 AM,02/27/2014 10:13:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10468.0,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,Precinct,Closed,02/27/2014 12:42:17 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/27/2014 10:12:30 AM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,PHONE,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,False,False
27616794,03/11/2014 04:02:25 PM,04/24/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,,Closed,05/02/2014 03:32:17 PM,"The City inspected the property for cleaning, but no graffiti was found.",04/30/2014 11:30:15 AM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,False,False
27666662,03/19/2014 01:46:44 AM,03/19/2014 06:23:29 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10468,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,Precinct,Closed,03/19/2014 09:46:44 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/19/2014 06:22:37 AM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,PHONE,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,False,False
27952737,05/01/2014 09:19:48 AM,05/12/2014 05:24:23 PM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10468,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,,Closed,05/21/2014 09:19:48 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",05/12/2014 05:24:23 PM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,PHONE,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",False,False,False
28418678,07/07/2014 07:47:26 PM,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10468.0,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,,Open,09/12/2014 02:25:36 PM,The graffiti on this property has been scheduled to be removed by the City.,08/13/2014 02:25:36 PM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,False,False
28502965,07/18/2014 02:11:58 PM,07/25/2014 06:33:19 PM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10468.0,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,,Closed,08/08/2014 02:11:58 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",07/25/2014 06:33:19 PM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,PHONE,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",False,False,False
28725971,08/21/2014 04:17:59 AM,08/21/2014 07:20:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10468,80 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,Precinct,Closed,08/21/2014 12:17:59 PM,The Police Department responded to the complaint and took action to fix the condition.,08/21/2014 07:20:34 AM,07 BRONX,2032150026.0,BRONX,1011786.0,255574.0,PHONE,Unspecified,BRONX,,,,,,,,40.868123193542345,-73.90044164590105,"(40.86812319354234, -73.90044164590107)",True,False,False
