Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27420862,02/13/2014 10:24:42 AM,06/27/2014 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11372,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,Jackson Heights,,,Closed,05/02/2014 03:32:17 PM,The City has removed the graffiti from this property.,07/21/2014 02:36:33 PM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
27253723,01/24/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,Jackson Heights,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",01/25/2014 12:00:00 AM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,PHONE,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
27285894,01/29/2014 12:00:00 AM,02/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,Jackson Heights,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",02/04/2014 12:00:00 AM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,PHONE,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
30930274,06/24/2015 12:39:02 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,JACKSON HEIGHTS,,,Assigned,07/31/2015 12:39:02 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",06/24/2015 03:23:11 PM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,PHONE,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,True,False
15773135,01/20/2010 12:14:00 PM,01/22/2010 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E1 Improper Disposal,Sidewalk,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,JACKSON HEIGHTS,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/22/2010 12:00:00 AM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,PHONE,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
20661926,06/17/2011 12:01:00 PM,06/18/2011 12:00:00 PM,DSNY,Queens West 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,JACKSON HEIGHTS,,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,06/18/2011 12:00:00 PM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,PHONE,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
22844091,03/08/2012 10:26:00 AM,03/12/2012 03:04:00 PM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Other (CMO),,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 ST,85 ST,,,ADDRESS,Jackson Heights,,,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,03/12/2012 03:04:00 PM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",False,False,False
22866505,03/12/2012 08:06:00 AM,03/12/2012 11:30:00 AM,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 ST,85 ST,,,ADDRESS,Jackson Heights,,,Closed,,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,03/12/2012 11:30:00 AM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
25972076,07/19/2013 04:14:00 PM,07/20/2013 12:00:00 PM,DSNY,Queens West 03,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,Jackson Heights,,,Closed,,The Department of Sanitation cleaned the location.,07/20/2013 12:00:00 PM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,PHONE,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
27568094,03/04/2014 03:43:14 PM,04/09/2014 10:29:29 AM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11372.0,84-19 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,JACKSON HEIGHTS,,,Closed,04/09/2014 07:06:07 AM,"This request is not eligible for the program, because the sidewalk is not affected by the tree, or the damage is not severe enough to qualify for the pilot program.",04/09/2014 10:28:29 AM,03 QUEENS,4014140138.0,QUEENS,1016595.0,214653.0,PHONE,Unspecified,QUEENS,,,,,,,,40.755790243953705,-73.88325157498483,"(40.755790243953705, -73.88325157498483)",True,False,False
