Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26238326,09/01/2013 10:15:54 AM,09/01/2013 01:48:35 PM,NYPD,New York City Police Department,Homeless Encampment,,Street/Sidewalk,10009,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/01/2013 06:15:54 PM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 01:48:35 PM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",False,True,False
23397313,06/11/2012 11:11:00 PM,06/12/2012 08:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10009.0,85 AVENUE A,AVENUE A,E 5 ST,E 6 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,06/12/2012 08:00:00 PM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",True,False,False
24421071,11/16/2012 11:27:00 PM,11/16/2012 11:27:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10009.0,85 AVENUE A,AVENUE A,E 5 ST,E 6 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,11/16/2012 11:27:00 PM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",True,False,False
26082300,07/25/2013 02:17:00 AM,07/25/2013 04:45:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10009.0,85 AVENUE A,AVENUE A,E 5 ST,E 6 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",07/25/2013 04:45:00 AM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",False,True,False
16696312,05/20/2010 01:40:37 PM,05/28/2010 11:12:24 AM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,10009,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,,Closed,05/30/2010 01:40:37 PM,,05/28/2010 12:00:00 AM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",False,False,False
18243245,07/12/2010 02:01:06 PM,07/21/2010 11:15:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,10009,85 AVENUE A,AVENUE A,EAST    5 STREET,EAST    6 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,07/21/2010 11:15:00 AM,Unspecified MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,OTHER,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",False,False,False
18904217,10/15/2010 10:11:14 AM,10/19/2010 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10009,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued a violation.,10/19/2010 12:00:00 AM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",True,False,False
19045136,11/04/2010 04:40:25 PM,11/04/2010 09:42:41 PM,NYPD,New York City Police Department,Urinating in Public,,Club/Bar/Restaurant,10009,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/05/2010 12:40:25 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/04/2010 12:00:00 AM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",False,False,False
19046446,11/04/2010 11:41:51 AM,11/04/2010 12:49:36 PM,NYPD,New York City Police Department,Homeless Encampment,,Store/Commercial,10009,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/04/2010 07:41:51 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/04/2010 12:00:00 AM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",False,False,False
19137211,11/17/2010 01:31:15 AM,11/17/2010 02:03:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/17/2010 09:31:15 AM,The Police Department responded to the complaint and took action to fix the condition.,11/17/2010 12:00:00 AM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",True,False,False
19223650,11/29/2010 04:00:00 PM,12/01/2010 01:15:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10009.0,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,12/01/2010 01:15:00 AM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",False,False,False
19845679,02/16/2011 08:58:30 PM,02/16/2011 11:17:41 PM,NYPD,New York City Police Department,Drinking,In Public,Residential Building/House,10009,85 AVENUE A,AVENUE A,EAST 5 STREET,EAST 6 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/17/2011 04:58:30 AM,The Police Department responded to the complaint and took action to fix the condition.,02/16/2011 11:17:42 PM,03 MANHATTAN,1004327501.0,MANHATTAN,988632.0,203477.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72517297915577,-73.98419055772301,"(40.725172979155765, -73.98419055772301)",True,False,False
