Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26399725,09/28/2013 04:09:26 PM,09/28/2013 06:58:59 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/29/2013 12:09:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/28/2013 06:58:59 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
26608808,11/01/2013 08:50:45 PM,11/01/2013 10:08:51 PM,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/02/2013 04:50:45 AM,The Police Department responded to the complaint and took action to fix the condition.,11/01/2013 10:08:51 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
26560479,10/26/2013 12:56:56 AM,10/26/2013 02:11:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/26/2013 08:56:56 AM,The Police Department responded to the complaint and took action to fix the condition.,10/26/2013 02:11:15 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
26733836,11/21/2013 12:00:00 AM,11/01/2013 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Pending,12/21/2013 03:32:40 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,11/21/2013 03:42:40 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
27638204,03/15/2014 12:48:53 AM,03/15/2014 01:56:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/15/2014 08:48:53 AM,The Police Department responded to the complaint and took action to fix the condition.,03/15/2014 01:56:14 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
30352637,04/07/2015 07:17:57 PM,04/25/2015 04:07:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,04/25/2015 04:07:00 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",False,False,False
25362986,04/15/2013 06:13:00 PM,04/22/2013 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/22/2013 12:00:00 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
25363020,04/15/2013 06:10:00 PM,04/22/2013 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/22/2013 12:00:00 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
25927327,07/12/2013 05:18:00 PM,07/17/2013 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E5 Loose Rubbish,Sidewalk,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/17/2013 12:00:00 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
26707650,11/18/2013 09:03:00 PM,11/21/2013 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,11/21/2013 12:00:00 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
26734993,11/21/2013 03:55:00 PM,11/22/2013 12:00:00 PM,DSNY,P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation periodically conducted surveillance at the location and during those times no violations were observed.,11/22/2013 12:00:00 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
27076813,01/07/2014 07:24:00 PM,01/09/2014 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E1 Improper Disposal,Sidewalk,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/09/2014 12:00:00 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
27451577,02/16/2014 02:44:02 AM,02/16/2014 03:32:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/16/2014 10:44:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/16/2014 03:32:19 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
27689176,03/22/2014 01:33:06 AM,03/22/2014 02:16:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/22/2014 09:33:06 AM,The Police Department responded to the complaint and took action to fix the condition.,03/22/2014 02:16:58 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
27911723,04/25/2014 10:18:07 PM,04/26/2014 12:22:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/26/2014 06:18:07 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/26/2014 12:22:40 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
27916796,04/26/2014 12:38:11 AM,04/26/2014 02:07:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/26/2014 08:38:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/26/2014 02:07:01 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
27922802,04/26/2014 03:14:46 AM,04/26/2014 04:08:38 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/26/2014 11:14:46 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/26/2014 04:08:38 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28059146,05/16/2014 11:30:52 PM,05/17/2014 03:35:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/17/2014 07:30:52 AM,The Police Department responded to the complaint and took action to fix the condition.,05/17/2014 03:35:06 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28059951,05/16/2014 11:35:19 PM,05/17/2014 03:35:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/17/2014 07:35:19 AM,The Police Department responded to the complaint and took action to fix the condition.,05/17/2014 03:35:06 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28590392,07/31/2014 10:24:24 PM,07/31/2014 11:26:07 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/01/2014 06:24:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/31/2014 11:26:07 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28650467,08/09/2014 02:36:44 AM,08/09/2014 04:07:50 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/09/2014 10:36:44 AM,The Police Department responded to the complaint and determined that police action was not necessary.,08/09/2014 04:07:51 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28741944,08/23/2014 10:51:12 PM,08/24/2014 05:09:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206.0,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/24/2014 06:51:12 AM,The Police Department responded to the complaint and took action to fix the condition.,08/24/2014 05:09:27 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28921228,09/20/2014 11:26:19 PM,09/21/2014 01:41:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/21/2014 07:26:19 AM,The Police Department responded to the complaint and took action to fix the condition.,09/21/2014 01:41:44 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28965283,09/27/2014 02:53:58 AM,09/27/2014 04:09:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/27/2014 10:53:58 AM,The Police Department responded to the complaint and took action to fix the condition.,09/27/2014 04:09:59 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
28965807,09/27/2014 03:28:35 AM,09/27/2014 04:10:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/27/2014 11:28:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/27/2014 04:10:01 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
29003455,10/03/2014 10:47:28 PM,10/03/2014 11:12:03 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/04/2014 06:47:28 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/03/2014 11:12:04 PM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
30331080,04/05/2015 12:50:18 AM,04/05/2015 03:04:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,87 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON STREET,TROUTMAN STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/05/2015 08:50:18 AM,The Police Department responded to the complaint and took action to fix the condition.,04/05/2015 03:04:15 AM,04 BROOKLYN,3031730008.0,BROOKLYN,1003751.0,194554.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70066106862213,-73.92966987438425,"(40.700661068622125, -73.92966987438425)",True,False,False
