Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26315419,09/15/2013 12:24:52 AM,09/15/2013 05:53:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/15/2013 08:24:52 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/15/2013 05:53:56 AM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,False,False
28462940,07/12/2014 06:50:00 AM,07/14/2014 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/14/2014 12:00:00 PM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
28480317,07/15/2014 11:14:00 AM,07/17/2014 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,07/17/2014 12:00:00 PM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
28920261,09/20/2014 05:56:22 PM,11/05/2014 12:00:00 AM,DOB,Department of Buildings,Plumbing,Sprinkler System - Inadequate,,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,11/05/2014 12:00:00 AM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
28921420,09/20/2014 09:16:58 AM,09/21/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,09/21/2014 12:00:00 AM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
29089935,10/17/2014 11:41:18 AM,12/04/2014 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,12/04/2014 12:00:00 AM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
29414745,12/02/2014 11:45:52 AM,04/16/2015 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/16/2015 12:00:00 AM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
28774739,08/28/2014 09:41:27 PM,08/28/2014 10:22:51 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/29/2014 05:41:27 AM,The Police Department responded to the complaint and took action to fix the condition.,08/28/2014 10:22:51 PM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
29031205,10/08/2014 07:41:13 PM,10/08/2014 08:42:16 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/09/2014 03:41:13 AM,The Police Department responded to the complaint and took action to fix the condition.,10/08/2014 08:42:16 PM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
29031209,10/08/2014 09:33:35 PM,10/08/2014 10:10:14 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11238.0,899 BERGEN STREET,BERGEN STREET,CLASSON AVENUE,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/09/2014 05:33:35 AM,The Police Department responded to the complaint and took action to fix the condition.,10/08/2014 10:10:14 PM,08 BROOKLYN,3011420018.0,BROOKLYN,995986.0,186008.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67721797068917,-73.95768913620905,"(40.67721797068917, -73.95768913620907)",True,True,False
