Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
19408620,12/23/2010 01:55:02 PM,04/25/2011 06:19:38 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11211,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,,Closed,07/06/2011 09:38:41 AM,The Department of Parks and Recreation inspected but the condition was not found.,04/25/2011 06:19:38 PM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",False,False,False
20052952,03/17/2011 01:44:06 PM,04/25/2011 06:20:46 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11211.0,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,,Closed,09/19/2011 07:22:13 AM,The Department of Parks and Recreation inspected but the condition was not found.,04/25/2011 06:20:46 PM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",False,False,False
20266595,04/19/2011 03:55:07 PM,04/25/2011 06:20:41 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11211,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,,Closed,10/16/2011 03:55:07 PM,The Department of Parks and Recreation inspected but the condition was not found.,04/25/2011 06:20:41 PM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,OTHER,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",False,False,False
20300238,04/25/2011 01:13:23 PM,04/25/2011 06:19:40 PM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11211,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,,Closed,10/22/2011 01:13:23 PM,The Department of Parks and Recreation inspected but the condition was not found.,04/25/2011 06:19:40 PM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",False,False,False
22732863,02/17/2012 04:01:50 AM,02/17/2012 04:26:58 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11211,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/17/2012 12:01:50 PM,The Police Department responded to the complaint and took action to fix the condition.,02/17/2012 04:26:58 AM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",True,False,False
22809219,03/03/2012 02:09:06 AM,03/03/2012 02:40:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/03/2012 10:09:06 AM,The Police Department responded to the complaint and took action to fix the condition.,03/03/2012 02:40:46 AM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",True,False,False
22893092,03/17/2012 01:33:26 AM,03/17/2012 03:38:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211.0,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/17/2012 09:33:26 AM,The Police Department responded to the complaint and took action to fix the condition.,03/17/2012 03:38:55 AM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",True,False,False
22852998,03/10/2012 12:56:33 AM,03/10/2012 03:08:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,11211,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/10/2012 08:56:33 AM,The Police Department responded to the complaint and took action to fix the condition.,03/10/2012 03:08:12 AM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",True,False,False
22931768,03/23/2012 12:33:28 AM,03/23/2012 04:36:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/23/2012 08:33:28 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/23/2012 04:36:31 AM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",True,False,False
23294742,05/25/2012 01:58:07 AM,05/25/2012 02:07:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11249,90 WYTHE AVENUE,WYTHE AVENUE,NORTH 11 STREET,NORTH 10 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/25/2012 09:58:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/25/2012 02:07:44 AM,01 BROOKLYN,3022950018.0,BROOKLYN,995849.0,202198.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.72165591514777,-73.95815516890191,"(40.72165591514777, -73.95815516890191)",True,False,False
