Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26240542,09/02/2013 11:31:48 AM,09/02/2013 02:22:53 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,09/02/2013 07:31:48 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2013 02:22:53 PM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,True,False
26401568,09/29/2013 11:13:34 AM,09/29/2013 12:24:57 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369.0,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,09/29/2013 07:13:34 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/29/2013 12:24:57 PM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,True,False
26402968,09/29/2013 12:12:01 PM,09/29/2013 03:37:56 PM,NYPD,New York City Police Department,Drinking,After Hours - Licensed Est,Club/Bar/Restaurant,11369.0,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,09/29/2013 08:12:01 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/29/2013 03:37:56 PM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,True,False
26660081,11/10/2013 10:53:02 AM,11/10/2013 11:21:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,11/10/2013 06:53:02 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/10/2013 11:21:23 AM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,True,False
16572102,04/30/2010 10:36:47 AM,05/01/2010 12:25:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,11369,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,05/01/2010 12:25:00 PM,Unspecified QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",False,False,False
18637490,09/07/2010 11:54:43 AM,09/20/2010 09:11:25 AM,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11369,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,,Closed,09/21/2010 03:28:30 PM,,09/20/2010 12:00:00 AM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",False,False,False
18816394,10/03/2010 09:27:06 AM,10/03/2010 11:00:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369.0,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,10/03/2010 05:27:06 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/03/2010 12:00:00 AM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,False,False
18854113,10/09/2010 01:51:01 AM,10/09/2010 04:08:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,10/09/2010 09:51:01 AM,The Police Department responded to the complaint and took action to fix the condition.,10/09/2010 12:00:00 AM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,False,False
18891012,10/15/2010 12:35:14 AM,10/15/2010 02:52:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11369,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,10/15/2010 08:35:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/15/2010 12:00:00 AM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,PHONE,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,False,False
20349343,05/02/2011 01:11:14 PM,05/02/2011 01:11:14 PM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,,11369,91-01 ASTORIA BOULEVARD,ASTORIA BOULEVARD,91 STREET,92 STREET,,,ADDRESS,EAST ELMHURST,,,Closed,,The Department of Buildings investigated this complaint and issued Environmental Control Board and Department of Buildings violations.,05/02/2011 12:00:00 AM,03 QUEENS,4013650001.0,QUEENS,1018008.0,217463.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76349768480442,-73.87813728505813,"(40.76349768480442, -73.87813728505814)",True,False,False
