Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
16638354,05/11/2010 10:43:55 AM,07/02/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,07/12/2010 12:52:39 PM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",True,False,False
16724535,05/24/2010 11:19:23 AM,06/16/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,07/12/2010 12:44:41 PM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",True,False,False
16868925,06/15/2010 10:27:37 AM,06/16/2010 03:19:07 PM,DOHMH,Department of Health and Mental Hygiene,Mold,Public Complaint - Comm Location,Commercial Building,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,JAMAICA,,,Closed,07/30/2010 10:27:37 AM,,06/16/2010 03:18:23 PM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",True,False,False
16868926,06/15/2010 10:35:01 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Commercial Building,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,JAMAICA,,,Pending,07/15/2010 10:35:01 AM,,07/07/2010 04:08:47 AM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",True,False,False
19018008,11/01/2010 06:50:49 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,JAMAICA,,,Assigned,01/05/2011 04:12:26 PM,The condition has been inspected and a work order was created.,12/06/2010 04:13:02 PM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",False,False,False
19019452,11/01/2010 07:01:29 PM,11/02/2010 07:12:10 AM,DPR,Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,JAMAICA,,,Closed,11/06/2010 07:01:29 PM,The Department of Parks and Recreation inspected but the condition was not found.,11/02/2010 12:00:00 AM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,OTHER,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",False,False,False
19092929,11/09/2010 03:36:54 PM,11/23/2010 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,12/09/2010 05:34:38 PM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",True,False,False
19218863,11/29/2010 12:00:00 AM,12/01/2010 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),11435.0,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,JAMAICA,,,Closed,12/29/2010 01:25:06 PM,Please contact the Department of Health and Mental Hygiene's Pest Control Services for updated status of your complaint by calling (718) 520-4974.,12/09/2010 12:00:00 AM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",True,False,False
20121583,03/28/2011 11:28:34 AM,05/09/2011 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,Jamaica,,,Closed,,The City has removed the graffiti from this property.,05/25/2011 12:03:40 PM,12 QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",True,False,False
22924500,03/19/2012 07:34:32 AM,03/20/2012 09:36:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11435,91-12 144 PLACE,144 PLACE,91 AVENUE,ARCHER AVENUE,,,ADDRESS,JAMAICA,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,03/20/2012 09:36:00 AM,Unspecified QUEENS,4099840011.0,QUEENS,1036909.0,194563.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70055057856994,-73.81008612633977,"(40.70055057856994, -73.81008612633977)",False,False,False
