Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27125397,01/12/2014 12:26:32 AM,01/12/2014 02:08:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11236,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/12/2014 08:26:32 AM,The Police Department responded to the complaint and took action to fix the condition.,01/12/2014 02:08:46 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
30203202,03/17/2015 01:41:04 PM,04/13/2015 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,11236.0,9117 AVENUE L,AVENUE L,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings investigated this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/13/2015 12:00:00 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
30395033,04/13/2015 02:23:33 PM,04/21/2015 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11236.0,9117 AVENUE L,AVENUE L,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/21/2015 12:00:00 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
22848979,03/08/2012 01:08:00 PM,03/09/2012 12:00:00 PM,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11236.0,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation cleaned the location.,03/09/2012 12:00:00 PM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
27742385,03/29/2014 10:00:04 AM,03/29/2014 11:28:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11236,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/29/2014 06:00:04 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/29/2014 11:28:56 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
27748016,03/30/2014 02:35:14 AM,03/30/2014 03:06:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11236.0,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/30/2014 10:35:14 AM,The Police Department responded to the complaint and took action to fix the condition.,03/30/2014 03:06:57 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
28362713,06/28/2014 10:31:58 PM,06/29/2014 02:46:44 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11236.0,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/29/2014 06:31:58 AM,The Police Department responded to the complaint and took action to fix the condition.,06/29/2014 02:46:44 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
28921136,09/20/2014 10:28:48 PM,09/21/2014 02:57:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11236,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/21/2014 06:28:48 AM,The Police Department responded to the complaint and took action to fix the condition.,09/21/2014 02:57:08 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
29059536,10/12/2014 11:09:02 PM,10/13/2014 03:03:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11236,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/13/2014 07:09:02 AM,The Police Department responded to the complaint and determined that police action was not necessary.,10/13/2014 03:03:40 AM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
29098994,10/19/2014 11:35:55 AM,10/19/2014 02:22:20 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11236.0,9117 AVENUE L,AVENUE L,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/19/2014 07:35:55 PM,The Police Department responded to the complaint and took action to fix the condition.,10/19/2014 02:22:20 PM,18 BROOKLYN,3082370001.0,BROOKLYN,1012138.0,170988.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6359552410377,-73.89951977082998,"(40.6359552410377, -73.89951977082998)",True,False,False
