Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15770803,01/20/2010 10:56:00 PM,01/21/2010 12:00:00 PM,DSNY,A - Manhattan,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Sidewalk,10025.0,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/21/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",False,False,False
23206149,05/10/2012 09:18:00 AM,05/14/2012 05:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10025.0,929 COLUMBUS AVENUE,COLUMBUS AVENUE,W 105 ST,W 106 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/14/2012 05:45:00 PM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,True,True
16367604,04/03/2010 03:23:10 AM,04/03/2010 05:58:02 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025.0,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/03/2010 11:23:10 AM,,04/03/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16433736,04/14/2010 01:48:10 AM,04/14/2010 06:00:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/14/2010 09:48:10 AM,,04/14/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16383923,04/07/2010 01:44:12 AM,04/07/2010 02:23:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/07/2010 09:44:12 AM,,04/07/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16459398,04/17/2010 02:30:21 AM,04/17/2010 04:05:40 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/17/2010 10:30:21 AM,,04/17/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16547114,04/30/2010 12:22:23 AM,04/30/2010 02:19:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/30/2010 08:22:23 AM,,04/30/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16580250,05/05/2010 12:44:01 AM,05/05/2010 01:26:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/05/2010 08:44:01 AM,,05/05/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16580414,05/05/2010 12:41:14 AM,05/05/2010 01:26:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/05/2010 08:41:14 AM,,05/05/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16580738,05/05/2010 01:40:17 AM,05/05/2010 01:55:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/05/2010 09:40:17 AM,,05/05/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16651657,05/13/2010 10:57:58 PM,05/13/2010 11:14:03 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/14/2010 06:57:58 AM,,05/13/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16720047,05/25/2010 01:23:30 AM,05/25/2010 02:54:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,05/25/2010 09:23:30 AM,,05/25/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16812482,06/07/2010 11:58:14 PM,06/08/2010 12:49:34 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/08/2010 07:58:14 AM,,06/08/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16812682,06/07/2010 11:31:28 PM,06/08/2010 12:51:39 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/08/2010 07:31:28 AM,,06/08/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
16814262,06/07/2010 09:37:47 PM,06/08/2010 12:51:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/08/2010 05:37:47 AM,,06/08/2010 12:00:00 AM,07 MANHATTAN,1018410064.0,MANHATTAN,994470.0,230348.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79892213493039,-73.963087287577,"(40.79892213493039, -73.963087287577)",True,False,False
