Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26307587,09/13/2013 11:57:26 PM,09/14/2013 12:52:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/14/2013 07:57:26 AM,The Police Department responded to the complaint and took action to fix the condition.,09/14/2013 12:52:57 AM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",True,False,False
26526380,10/21/2013 08:43:22 AM,12/02/2013 02:08:01 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10002,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,,Closed,12/06/2013 09:32:05 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,12/02/2013 02:08:01 PM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",False,False,False
25357480,04/13/2013 04:08:13 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10002.0,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,,Assigned,05/20/2013 04:08:13 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",04/15/2013 11:42:48 AM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",True,False,False
32254187,12/22/2015 11:10:54 AM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Commercial Building,10002.0,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,,Assigned,01/28/2016 11:10:54 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",12/22/2015 12:46:49 PM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",True,False,False
16493796,04/21/2010 02:02:22 PM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Commercial Building,10002.0,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,,Assigned,05/28/2010 02:02:22 PM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",04/21/2010 04:01:19 PM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",True,False,False
28072543,05/18/2014 03:24:11 AM,07/24/2014 11:15:34 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10002.0,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,,Closed,07/03/2014 10:50:36 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,07/24/2014 11:15:34 AM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",False,False,False
28562704,07/27/2014 07:04:02 PM,07/27/2014 09:31:39 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,07/28/2014 03:04:02 AM,The Police Department responded to the complaint and took action to fix the condition.,07/27/2014 09:31:39 PM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",True,False,False
29840560,02/01/2015 01:32:09 PM,02/01/2015 01:33:01 PM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,No Status Call,,10002.0,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,,Closed,02/01/2015 03:32:09 PM,"Your request was submitted to the Department of Homeless Services. The Cityâs outreach team will assess the homeless individual and offer appropriate assistance within 2 hours. If you asked to know the outcome of your request, you will get a call within 2 hours. No further status will be available through the NYC 311 App, 311, or 311 Online.",,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",False,False,False
29927375,02/12/2015 06:18:28 PM,05/14/2015 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10002,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,,Closed,04/08/2015 10:00:58 AM,The City has removed the graffiti from this property.,05/29/2015 03:38:27 PM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",True,False,False
30382643,04/12/2015 05:20:09 PM,04/12/2015 07:33:17 PM,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,10002,95 DELANCEY STREET,DELANCEY STREET,ORCHARD STREET,LUDLOW STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,04/13/2015 01:20:09 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/12/2015 07:33:17 PM,03 MANHATTAN,1004090017.0,MANHATTAN,987239.0,201173.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.718849636279934,-73.98921726619577,"(40.71884963627994, -73.98921726619577)",True,False,False
