Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15671014,01/07/2010 12:53:05 AM,01/07/2010 01:04:41 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,01/07/2010 08:53:05 AM,,01/07/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
15759745,01/19/2010 10:46:48 PM,01/20/2010 02:32:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,01/20/2010 06:46:48 AM,,01/20/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
15946025,02/07/2010 12:23:20 AM,02/07/2010 03:49:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435.0,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,02/07/2010 08:23:20 AM,,02/07/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
16308554,03/26/2010 11:25:09 PM,03/27/2010 12:33:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435.0,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,03/27/2010 07:25:09 AM,,03/27/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
16555612,04/30/2010 03:53:03 AM,04/30/2010 04:10:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,04/30/2010 11:53:03 AM,,04/30/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
16618981,05/10/2010 02:03:50 AM,05/10/2010 05:06:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,05/10/2010 10:03:50 AM,,05/10/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
16752304,05/28/2010 11:07:22 PM,05/29/2010 12:06:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,05/29/2010 07:07:22 AM,,05/29/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
18451958,08/11/2010 02:16:20 AM,08/11/2010 02:46:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,08/11/2010 10:16:20 AM,,08/11/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
18648621,09/09/2010 10:34:57 PM,09/10/2010 12:35:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,09/10/2010 06:34:57 AM,,09/10/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
18648626,09/09/2010 11:32:41 PM,09/10/2010 12:35:46 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11435,95-35 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Closed,09/10/2010 07:32:41 AM,,09/10/2010 12:00:00 AM,12 QUEENS,4100270027.0,QUEENS,1037952.0,193715.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69821675413468,-73.80633133659956,"(40.69821675413468, -73.80633133659956)",True,False,False
