Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26350477,09/20/2013 11:36:33 PM,09/21/2013 02:38:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,09/21/2013 07:36:33 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/21/2013 02:38:28 AM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
35579139,02/26/2017 03:16:20 AM,02/26/2017 03:24:21 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,02/26/2017 11:16:20 AM,The Police Department responded to the complaint and took action to fix the condition.,02/26/2017 03:24:21 AM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,True,False
26511850,10/19/2013 01:46:46 AM,10/19/2013 08:07:10 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,10/19/2013 09:46:46 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/19/2013 08:07:10 PM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
26519810,10/21/2013 01:08:03 AM,10/21/2013 02:17:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,10/21/2013 09:08:03 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/21/2013 02:17:16 AM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
26780711,11/30/2013 01:29:25 AM,11/30/2013 02:16:14 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,11/30/2013 09:29:25 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/30/2013 02:15:26 AM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
26840869,12/07/2013 11:41:35 PM,12/08/2013 02:28:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,12/08/2013 07:41:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/08/2013 02:28:25 AM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
27006454,12/29/2013 12:44:07 AM,12/29/2013 01:14:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,12/29/2013 08:44:07 AM,The Police Department responded to the complaint and took action to fix the condition.,12/29/2013 01:14:27 AM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
27058501,01/05/2014 11:06:41 PM,01/05/2014 11:28:52 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025.0,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,01/06/2014 07:06:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/05/2014 11:28:52 PM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
27133346,01/13/2014 12:01:04 AM,01/13/2014 01:38:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,Precinct,Closed,01/13/2014 08:01:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/13/2014 01:38:08 AM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
27822834,04/10/2014 03:35:00 PM,04/17/2014 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10025.0,955 WEST END AVENUE,WEST END AVENUE,WEST 106 STREET,BROADWAY,,,ADDRESS,NEW YORK,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/17/2014 12:00:00 PM,07 MANHATTAN,1018920019.0,MANHATTAN,992992.0,231429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80189077022533,-73.96842413691874,"(40.801890770225334, -73.96842413691874)",True,False,False
