Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
15647094,01/04/2010 10:51:03 AM,01/01/1900 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10013,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Assigned,02/10/2010 10:51:03 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint, please make a new complaint.",01/04/2010 04:39:05 PM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",True,False,False
22441941,01/03/2012 10:38:00 AM,01/03/2012 12:00:00 PM,DSNY,Manhattan 01,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10013.0,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,01/03/2012 12:00:00 PM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",True,True,False
22454597,01/04/2012 02:16:00 PM,01/17/2012 12:00:00 PM,DSNY,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10013.0,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/17/2012 12:00:00 PM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",True,True,False
16434574,04/13/2010 02:55:53 PM,10/19/2010 03:50:47 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10013,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,06/20/2010 10:09:44 AM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,10/19/2010 12:00:00 AM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,ONLINE,Unspecified,MANHATTAN,,,Other,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",False,False,False
18284248,07/17/2010 03:36:42 PM,08/02/2010 01:30:36 PM,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10013,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,08/06/2010 03:36:42 PM,,08/02/2010 12:00:00 AM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",False,False,False
22310975,12/12/2011 02:09:00 PM,12/12/2011 02:09:00 PM,DSNY,Manhattan 01,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10013,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,12/12/2011 02:09:00 PM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",True,True,False
22370745,12/21/2011 03:05:00 PM,12/21/2011 03:05:00 PM,DSNY,Manhattan 01,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10013.0,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,12/21/2011 03:05:00 PM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",True,True,False
20196246,04/08/2011 12:11:02 PM,04/08/2011 03:52:08 PM,DOT,Department of Transportation,Broken Muni Meter,Out of Order,Street,10013.0,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,04/28/2011 12:11:02 PM,"The condition was inspected and it was in compliance with Department of Transportation standards, not hazardous, or a valid permit exists.",04/08/2011 03:52:08 PM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",False,False,False
20711539,06/25/2011 10:47:43 PM,06/27/2011 10:51:48 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10013,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,,"The Taxi and Limousine Commission requires you to attend a hearing to process a complaint against a yellow cab driver. Since you are not willing to attend a hearing, your complaint will be used for planning purposes. Please note your Service Request number for future reference.",06/27/2011 10:51:48 AM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,Intersection,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",False,False,False
20711540,06/25/2011 10:55:08 PM,07/17/2011 02:12:50 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10013,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,07/17/2011 06:13:18 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,07/17/2011 02:12:50 AM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,Intersection,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",False,False,False
20988964,08/07/2011 11:20:16 PM,08/30/2011 02:13:06 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,10013,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,08/30/2011 06:12:26 PM,The Taxi and Limousine Commission will send a confirmation letter in 14 days to confirm your complaint details. At the hearing you may be required to provide information regarding this complaint. Please note your Service Request number for future reference.,08/30/2011 02:13:06 AM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,Other,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",False,False,False
21389609,09/08/2011 04:40:30 PM,09/09/2011 05:15:52 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,10013.0,96 LAFAYETTE STREET,LAFAYETTE STREET,WHITE STREET,WALKER STREET,,,ADDRESS,NEW YORK,,,Closed,09/22/2011 04:40:30 PM,"The condition has been inspected/investigated, see customer notes for more information.",09/09/2011 05:15:53 AM,01 MANHATTAN,1001950017.0,MANHATTAN,983894.0,200725.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71762048167965,-74.00128423634409,"(40.71762048167965, -74.00128423634409)",False,True,False
