Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
27474032,02/19/2014 02:56:00 PM,02/24/2014 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,10301,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/24/2014 12:00:00 PM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
27734707,03/28/2014 01:09:39 PM,04/02/2014 05:58:57 AM,DPR,Department of Parks and Recreation,Illegal Tree Damage,Unauthorized Tree Removal,,10301,97 VICTORY BOULEVARD,VICTORY BOULEVARD,,,,,LATLONG,STATEN ISLAND,,,Closed,04/05/2014 01:09:39 PM,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,04/02/2014 05:58:57 AM,01 STATEN ISLAND,,STATEN ISLAND,962050.0,171660.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.63781581923454,-74.07998863682313,"(40.63781581923454, -74.07998863682313)",False,False,False
28273567,06/16/2014 04:12:00 PM,06/21/2014 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10301.0,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/21/2014 12:00:00 PM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
28707544,08/18/2014 12:00:00 AM,08/27/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10301.0,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,,Closed,09/17/2014 11:00:11 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,08/27/2014 12:00:00 AM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
28689341,08/15/2014 10:12:32 PM,08/16/2014 01:36:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301.0,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,08/16/2014 06:12:32 AM,The Police Department responded to the complaint and took action to fix the condition.,08/16/2014 01:36:22 AM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
26369865,09/24/2013 10:15:00 AM,09/30/2013 12:00:00 PM,DSNY,A - Staten Island,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,10301.0,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/30/2013 12:00:00 PM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
27419821,02/14/2014 12:10:21 AM,02/14/2014 01:05:13 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/14/2014 08:10:21 AM,The Police Department responded to the complaint and took action to fix the condition.,02/14/2014 01:04:58 AM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
27422379,02/13/2014 10:04:48 PM,02/13/2014 11:24:34 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/14/2014 06:04:48 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/13/2014 11:24:25 PM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
27426143,02/14/2014 12:50:29 AM,02/14/2014 01:12:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10301,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,02/14/2014 08:50:29 AM,The Police Department responded to the complaint and took action to fix the condition.,02/14/2014 01:12:06 AM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
27787210,04/05/2014 03:45:13 AM,04/05/2014 05:37:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301.0,97 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,04/05/2014 11:45:13 AM,The Police Department responded to the complaint and took action to fix the condition.,04/05/2014 05:37:37 AM,01 STATEN ISLAND,5000230055.0,STATEN ISLAND,962213.0,171709.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.63795072076208,-74.07940149322397,"(40.63795072076208, -74.07940149322397)",True,False,False
