address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number,longitude,latitude,fl_bin,number_calls,preceding_month,preceding_year,proportion_last_year_resolved,specific_datafile,full_address
1 NAGLE AVENUE,Manhattan,MN,1064121,2171.0,1.0,2015-07-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93046858,40.85910537,1064121.0,384,13,176,0,cases/1 NAGLE AVENUE_MANHATTAN_2015-07-18T00:00:00.csv,1 NAGLE AVENUEManhattan
10 AKRON STREET,Staten Island,SI,5104032,1546.0,5.0,2013-04-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.1587045,40.611920700000006,5104032.0,69,1,7,1,cases/10 AKRON STREET_STATEN ISLAND_2013-04-12T00:00:00.csv,10 AKRON STREETStaten Island
10 WEST MT EDEN AVENUE,Bronx,BX,2008329,2859.0,44.0,2015-02-07,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91521611,40.84436937,2008329.0,0,0,0,0,,10 WEST MT EDEN AVENUEBronx
10-28 BEACH 20 STREET,Queens,QN,4298257,15561.0,13.0,2013-04-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75283521,40.60303775,4298257.0,0,0,0,0,,10-28 BEACH 20 STREETQueens
10-28 BEACH 20 STREET,Queens,QN,4298257,15561.0,13.0,2012-06-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75283521,40.60303775,4298257.0,0,0,0,0,,10-28 BEACH 20 STREETQueens
10-37 BEACH 20 STREET,Queens,QN,4300149,15704.0,60.0,2013-04-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75334050000001,40.60351252,4300149.0,32,0,9,0,cases/10-37 BEACH 20 STREET_QUEENS_2013-04-23T00:00:00.csv,10-37 BEACH 20 STREETQueens
10-75 BEACH 21 STREET,Queens,QN,4300166,15705.0,125.0,2012-06-16,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34955180J,061612CNEMR01,-73.75385272,40.6044217,4300166.0,1,0,0,0,cases/10-75 BEACH 21 STREET_QUEENS_2012-06-16T00:00:00.csv,10-75 BEACH 21 STREETQueens
10-75 BEACH 21 STREET,Queens,QN,4300166,15705.0,125.0,2014-05-09,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35095616K,050914CNRJM01,-73.75385272,40.6044217,4300166.0,1,0,0,0,cases/10-75 BEACH 21 STREET_QUEENS_2014-05-09T00:00:00.csv,10-75 BEACH 21 STREETQueens
10-75 BEACH 21 STREET,Queens,QN,4300166,15705.0,125.0,2013-04-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75385272,40.6044217,4300166.0,1,0,0,0,cases/10-75 BEACH 21 STREET_QUEENS_2013-04-19T00:00:00.csv,10-75 BEACH 21 STREETQueens
100 A 7 AVENUE,Manhattan,MN,1013813,766.0,39.0,2013-10-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.99888523,40.74017442,1013813.0,0,0,0,0,,100 A 7 AVENUEManhattan
100 DYCKMAN STREET,Manhattan,MN,1064176,2174.0,66.0,2017-06-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92522433,40.86172527,1064176.0,19,0,5,0,cases/100 DYCKMAN STREET_MANHATTAN_2017-06-18T00:00:00.csv,100 DYCKMAN STREETManhattan
100 JAMAICA AVENUE,Brooklyn,BK,3083112,3661.0,15.0,2016-03-12,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35168792Y,031216CNEJM05,-73.89635307,40.67842902,3083112.0,76,0,39,0,cases/100 JAMAICA AVENUE_BROOKLYN_2016-03-12T00:00:00.csv,100 JAMAICA AVENUEBrooklyn
100 JAMAICA AVENUE,Brooklyn,BK,3083112,3661.0,15.0,2017-02-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.89635307,40.67842902,3083112.0,76,5,15,0,cases/100 JAMAICA AVENUE_BROOKLYN_2017-02-03T00:00:00.csv,100 JAMAICA AVENUEBrooklyn
100 MOTT STREET,Manhattan,MN,1002616,204.0,4.0,2014-02-15,ADMINISTRATIVE CLOSURE NN,,,-73.99720654,40.71726197,1002616.0,36,0,4,0,cases/100 MOTT STREET_MANHATTAN_2014-02-15T00:00:00.csv,100 MOTT STREETManhattan
1000 SUTTER AVENUE,Brooklyn,BK,3089813,4051.0,16.0,2014-07-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.88142444,40.67109084,3089813.0,20,0,2,0,cases/1000 SUTTER AVENUE_BROOKLYN_2014-07-18T00:00:00.csv,1000 SUTTER AVENUEBrooklyn
1003 2 AVENUE,Manhattan,MN,1038559,1327.0,21.0,2013-11-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96733136,40.75695801,1038559.0,57,0,12,0,cases/1003 2 AVENUE_MANHATTAN_2013-11-08T00:00:00.csv,1003 2 AVENUEManhattan
1003 2 AVENUE,Manhattan,MN,1038559,1327.0,21.0,2014-10-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96733136,40.75695801,1038559.0,57,0,24,0,cases/1003 2 AVENUE_MANHATTAN_2014-10-24T00:00:00.csv,1003 2 AVENUEManhattan
1004 4 AVENUE,Brooklyn,BK,3010430,704.0,43.0,2015-03-22,MARCH: NO PA PERMIT/ECB NOV ISSUED,35117717Y,032215PANELC02,-74.00634378,40.65294578,3010430.0,5,0,0,0,,1004 4 AVENUEBrooklyn
1004 4 AVENUE,Brooklyn,BK,3010430,704.0,43.0,2016-04-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00634378,40.65294578,3010430.0,5,1,1,0,cases/1004 4 AVENUE_BROOKLYN_2016-04-24T00:00:00.csv,1004 4 AVENUEBrooklyn
1004 4 AVENUE,Brooklyn,BK,3010430,704.0,43.0,2013-10-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00634378,40.65294578,3010430.0,5,0,0,0,,1004 4 AVENUEBrooklyn
1004 4 AVENUE,Brooklyn,BK,3010430,704.0,43.0,2015-09-26,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00634378,40.65294578,3010430.0,5,0,0,0,,1004 4 AVENUEBrooklyn
1006 FLUSHING AVENUE,Brooklyn,BK,3338441,3149.0,3.0,2013-09-21,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35025599Y,,-73.93064517,40.70374928,3338441.0,57,12,35,0,cases/1006 FLUSHING AVENUE_BROOKLYN_2013-09-21T00:00:00.csv,1006 FLUSHING AVENUEBrooklyn
101 SHERMAN AVENUE,Manhattan,MN,1064745,2220.0,5.0,2016-08-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92507646,40.86353346,1064745.0,2081,1,220,1,cases/101 SHERMAN AVENUE_MANHATTAN_2016-08-12T00:00:00.csv,101 SHERMAN AVENUEManhattan
101-01 37 AVENUE,Queens,QN,4043297,1742.0,33.0,2013-10-05,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35065306H,,-73.8662418,40.75301658,4043297.0,43,0,0,0,cases/101-01 37 AVENUE_QUEENS_2013-10-05T00:00:00.csv,101-01 37 AVENUEQueens
101-02 NORTHERN BOULEVARD,Queens,QN,4042541,1716.0,1.0,2012-07-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86728754,40.75716593,4042541.0,35,0,2,0,cases/101-02 NORTHERN BOULEVARD_QUEENS_2012-07-06T00:00:00.csv,101-02 NORTHERN BOULEVARDQueens
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174.0,23.0,2014-05-09,MARCH: NO PA PERMIT/ECB NOV ISSUED,35091324K,062412PAERR01,-73.82212363,40.58308245,4303810.0,240,0,2,0,cases/101-19 ROCKAWAY BEACH BOULEVARD_QUEENS_2014-05-09T00:00:00.csv,101-19 ROCKAWAY BEACH BOULEVARDQueens
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174.0,23.0,2013-08-23,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35030238P,,-73.82212363,40.58308245,4303810.0,240,0,1,0,cases/101-19 ROCKAWAY BEACH BOULEVARD_QUEENS_2013-08-23T00:00:00.csv,101-19 ROCKAWAY BEACH BOULEVARDQueens
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174.0,23.0,2013-08-23,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35030239R,,-73.82212363,40.58308245,4303810.0,240,0,1,0,cases/101-19 ROCKAWAY BEACH BOULEVARD_QUEENS_2013-08-23T00:00:00.csv,101-19 ROCKAWAY BEACH BOULEVARDQueens
