address,latitude,longitude,number_of_raids,proportion_no_action,raid_dates_and_resolutions
1 NAGLE AVENUE Manhattan,40.85910537,-73.93046858,1,1.0,"[('2015-07-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
10 AKRON STREET Staten Island,40.611920700000006,-74.1587045,1,1.0,"[('2013-04-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
10 WEST MT EDEN AVENUE Bronx,40.84436937,-73.91521611,1,1.0,"[('2015-02-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
10-28 BEACH 20 STREET Queens,40.60303775,-73.75283521,2,1.0,"[('2013-04-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-06-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
10-37 BEACH 20 STREET Queens,40.60351252,-73.75334050000001,1,1.0,"[('2013-04-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
10-75 BEACH 21 STREET Queens,40.6044217,-73.75385272,3,0.3333333333333333,"[('2012-06-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-05-09', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-04-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
100 A 7 AVENUE Manhattan,40.74017442,-73.99888523,1,1.0,"[('2013-10-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
100 DYCKMAN STREET Manhattan,40.86172527,-73.92522433,1,1.0,"[('2017-06-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
100 JAMAICA AVENUE Brooklyn,40.67842902,-73.89635307,2,0.5,"[('2016-03-12', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-02-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
100 MOTT STREET Manhattan,40.71726197,-73.99720654,1,0.0,"[('2014-02-15', 'ADMINISTRATIVE CLOSURE NN')]"
1000 SUTTER AVENUE Brooklyn,40.67109084,-73.88142444,1,1.0,"[('2014-07-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1003 2 AVENUE Manhattan,40.75695801,-73.96733136,2,1.0,"[('2013-11-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-10-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1004 4 AVENUE Brooklyn,40.65294578,-74.00634378,4,0.75,"[('2015-03-22', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-04-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-10-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-09-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1006 FLUSHING AVENUE Brooklyn,40.70374928,-73.93064517,1,0.0,"[('2013-09-21', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
101 SHERMAN AVENUE Manhattan,40.86353346,-73.92507646,1,1.0,"[('2016-08-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
101-01 37 AVENUE Queens,40.75301658,-73.8662418,1,0.0,"[('2013-10-05', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
101-02 NORTHERN BOULEVARD Queens,40.75716593,-73.86728754,1,1.0,"[('2012-07-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
101-19 ROCKAWAY BEACH BOULEVARD Queens,40.58308245,-73.82212363,3,0.0,"[('2014-05-09', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-08-23', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-08-23', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
1013 BEDFORD AVENUE Brooklyn,40.68932672,-73.95484794,2,0.0,"[('2015-06-27', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2015-06-27', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
1019 SIMPSON STREET Bronx,40.823543900000004,-73.89339859,2,0.5,"[('2017-01-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-07-08', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
102-02 43 AVENUE Queens,40.74700894,-73.86257281,1,0.0,"[('2017-07-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
102-10 37 AVENUE Queens,40.75297046,-73.86489127,1,1.0,"[('2016-04-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
102-14 ROOSEVELT AVENUE Queens,40.74960861,-73.86323,4,0.75,"[('2015-12-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-02-15', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-04-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-02-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
